,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.13915350110844488,0.2807577293546934,0.37303284186307895,0.7828718813577662,0.8849680483062335,0.8789138024023609,0.14869559244118166,0.2916748465859794,0.3856106746981749,0.7613652944933597,0.8730367453918174,0.8484741479686738
DecisionTreeRegressor,0.2550629436331454,0.3819883298460775,0.5050375665563359,0.6020126217071944,0.7999789213062772,0.7914456455574741,0.14702172155031806,0.29511333147380964,0.38343411630985325,0.7640516127664139,0.874326414215111,0.8483161444036746
RandomForestRegressor,0.12996316453403436,0.27240940984464745,0.3605040423268987,0.7972120199399464,0.8928772715642419,0.884523934884048,0.13673919897686668,0.27876143105505563,0.3697826374735118,0.7805535595013285,0.8836530319377258,0.8554024219662262
GradientBoostingRegressor,0.13927445544340405,0.2820188059259601,0.3731949295521096,0.7826831503019026,0.8848985993977624,0.8760309700083942,0.1454638724903197,0.2876236761333752,0.38139726334927954,0.7665517329485474,0.8756188853078247,0.8508866886895836
AdaBoostRegressor,0.14559599314661542,0.2944544620118256,0.381570430126098,0.7728193410733115,0.8792121881602667,0.8701843894561334,0.15934812033644427,0.3030553145531297,0.3991843187506797,0.7442695432646014,0.862749059556697,0.8444143751391291
XGBRegressor,0.14240609422462905,0.286842221001737,0.3773673200273562,0.777796698783126,0.8821362752270736,0.8727260512745955,0.14483117032701495,0.29136269939232917,0.38056690650530156,0.7675671275001604,0.8763009596397655,0.8449697019665564
ExtraTreesRegressor,0.12780178899706665,0.27019775153012915,0.3574937607806137,0.8005845215319503,0.8948281654670368,0.886537904428539,0.13996674279655613,0.2799210917704525,0.3741212942303019,0.7753738231266539,0.8806435085146432,0.8528983891819183
LinearRegression,0.1388717666606158,0.28639078357259895,0.3726550236621208,0.7833114856086586,0.8851553332328819,0.8783652024313259,0.1473848215087867,0.287401611746796,0.3839073084857681,0.7634688903720503,0.8738141387296561,0.8453840410241574
KNeighborsRegressor,0.14201517508129297,0.2845418333366435,0.3768490083326384,0.7784066693369222,0.8826307852062907,0.8693134036337453,0.15777185423020262,0.3039535693617461,0.39720505312772975,0.7467992201157285,0.864631312023635,0.8328755010942802
SVR,0.13594452720398228,0.27987967791794477,0.3687065597517656,0.7878790027100704,0.8876624965891619,0.8754776661929575,0.1461841596374607,0.2847564768473718,0.38234037144599403,0.7653957772916493,0.8759422241359993,0.8533550995639619
MLPRegressor,0.17974817208305846,0.3331726390253479,0.4239671827901995,0.7195300001588932,0.8495990704390923,0.842439847801111,0.17808252007994013,0.3309367826838293,0.4219982465365705,0.7142035682599877,0.8471654743709388,0.8080852765556552
