,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.13978703612516286,0.28203674600587625,0.37388104542108425,0.7818833452075564,0.8844445149428476,0.8733635129808365,0.1517058879267129,0.29611363004504626,0.3894944003791491,0.7565342099609659,0.8703554774142654,0.8463645809659013
DecisionTreeRegressor,0.27334885302771783,0.40199991728301887,0.5228277469948567,0.5734802091348965,0.783268106477166,0.7757359467658399,0.15939415392535164,0.30694000860634923,0.3992419741527081,0.7441956660786542,0.8633745844434606,0.837909849856622
RandomForestRegressor,0.13302054026790827,0.2747613699772989,0.3647198106326393,0.7924414447421213,0.8901963124905394,0.8807274398757834,0.1413904315922404,0.2852552258443494,0.3760191904574026,0.7730890105715972,0.8796316938185766,0.8507636993584585
GradientBoostingRegressor,0.13588846756575365,0.2806786552216438,0.36863052988833367,0.7879664753477216,0.8878255786414244,0.8766282348269808,0.1493364767703096,0.2923683838478236,0.38644078041830626,0.7603367687607913,0.8725708703964844,0.8479420691245689
AdaBoostRegressor,0.14450020524340318,0.29612695848215626,0.3801318261385163,0.7745291533594572,0.8802050033035745,0.8739146647007318,0.16181141520084505,0.3119548303409727,0.4022578963809723,0.7403163148272836,0.860515077491391,0.8473087204220724
XGBRegressor,0.15414134136194038,0.2994760006265745,0.39260838167560863,0.7594856098602514,0.8716981155126401,0.8634451385355078,0.1473650943991822,0.2950822248731273,0.3838816150835856,0.763500549501374,0.8738496006256227,0.8416152429536159
ExtraTreesRegressor,0.13142655669932574,0.27230328691424044,0.3625280081584397,0.7949286164671305,0.8916164777598727,0.883716339772018,0.14583058504812085,0.2870052711469842,0.38187770954602845,0.7659632128599572,0.8753284264456835,0.8437424334276168
LinearRegression,0.14263484462638107,0.29093450577451574,0.3776702856015827,0.7774397681707057,0.881854657824638,0.8776940751216314,0.1522475074876604,0.296052919657216,0.39018906633536055,0.7556649896814578,0.8693817980496287,0.8412282765215395
KNeighborsRegressor,0.1489394271407069,0.2934985243237339,0.38592671213678237,0.7676024149653883,0.8765234435233472,0.8621242227585262,0.15505047145995543,0.2996122610587301,0.3937644873016807,0.7511666419423415,0.8667857293001648,0.8392821350461535
SVR,0.1337591629974748,0.2785297724744258,0.3657309981358906,0.7912889350145207,0.8895856610749098,0.8784946188487663,0.15645945052264945,0.29411778112536835,0.3955495550783106,0.7489054363600443,0.8668903978595095,0.8366341750430523
MLPRegressor,0.173987958599891,0.32323443161273213,0.4171186385189362,0.7285179473295726,0.8587529348004911,0.8474240957095599,0.17117685356951545,0.32380109803687646,0.4137352457423895,0.7252861542801087,0.855857710245663,0.8215034875748904
