,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.1693147435222414,0.3046578947851293,0.41147872790976864,0.735809796903877,0.8587159167642235,0.8447809943599295,0.1390656504707761,0.2810271891305804,0.3729150713912969,0.7768199446845735,0.8815481040486602,0.8673087641345585
DecisionTreeRegressor,0.3137735651779962,0.4173640299543197,0.5601549474725687,0.5104035231303996,0.7634343008319754,0.7538523720408481,0.1545478047101968,0.2889839801753969,0.39312568564035194,0.7519733486498323,0.8681795005782442,0.8546659279810613
RandomForestRegressor,0.15850878247377753,0.2936121251465839,0.3981316145118063,0.7526708745906376,0.8676490930840958,0.8551004154670862,0.13706310226617913,0.28038017414710326,0.3702203428583836,0.7800337420353987,0.8832803471882545,0.8647454864895258
GradientBoostingRegressor,0.1632872222444807,0.29767002352953326,0.40408813672821514,0.7452148377019255,0.863816783155072,0.8505778073402921,0.13944149781700355,0.28085597283812064,0.37341866292005754,0.776216764594902,0.8814564816110063,0.8580830644302895
AdaBoostRegressor,0.1754613890967102,0.31781402315726237,0.41888111570791803,0.7262188805495344,0.8539282263220251,0.8397285143118485,0.1472073664394188,0.2982616698785429,0.3836761217999093,0.7637536798370509,0.8762245525889482,0.8565055762716219
XGBRegressor,0.18298312060131441,0.31634230315179085,0.4277652634346487,0.7144823493266946,0.8474898354709395,0.8342416844282727,0.1487645786385255,0.28881989621921406,0.38570011490603096,0.7612545817236205,0.8734064281573648,0.8551609429136514
ExtraTreesRegressor,0.15350855790638537,0.29073177561092356,0.3918016818575252,0.7604729733122533,0.872055200946707,0.857442644606904,0.13540832140567163,0.28056794292894455,0.36797869694545043,0.782689423598263,0.8847580469548434,0.8678652158644046
LinearRegression,0.1659420729923467,0.30800300606183295,0.40735988142224644,0.7410723422306054,0.8610394800500475,0.8563628777902333,0.1311713456764374,0.27805024914889176,0.36217584910708417,0.7894891507373478,0.8885968453784427,0.872522311878346
KNeighborsRegressor,0.16884302127438217,0.30789656316623637,0.41090512441971583,0.7365458485546331,0.8590480187871629,0.845155303574481,0.14863949684433614,0.2984619234323809,0.3855379317840673,0.7614553197322633,0.8730903526551145,0.8575925802628758
SVR,0.16535820349361785,0.30321551877983827,0.4066425992116638,0.7419833828065288,0.8618092728629521,0.8506621034056743,0.14330763484513545,0.2826519883368239,0.3785599488127811,0.770012179401689,0.8793072862842707,0.8600568932078569
MLPRegressor,0.20978254033535046,0.3660164767182171,0.458020240093547,0.6726658837602262,0.822414968518023,0.8133707544935909,0.18358855909705793,0.3415529743801753,0.4284723551141403,0.7053671799193062,0.84422285781118,0.8077673041386003
