,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.14156394513967538,0.28156874995319264,0.37624984403940337,0.7791107458245279,0.882962018019627,0.8746873785560577,0.15575370100991595,0.2977406710691392,0.39465643414230045,0.7500380612372693,0.8666927235944699,0.8424885421980981
DecisionTreeRegressor,0.27175630824801494,0.3918823105173783,0.5213025112619495,0.5759651358461614,0.7854385839074406,0.779460735131536,0.1539201056052198,0.29600531047460327,0.39232652931610396,0.7529807140236395,0.8682319139910584,0.8425704636841421
RandomForestRegressor,0.1352622189215642,0.2781068121228996,0.3677801230648065,0.7889436422090076,0.8882402255128062,0.8798248391046009,0.1453498567975928,0.2845452660615239,0.3812477630066736,0.7667347114807981,0.875636243678064,0.8462397167974116
GradientBoostingRegressor,0.13863528453525362,0.2835053081831803,0.37233759484539514,0.783680480413413,0.8853488162183578,0.8765903038527828,0.14987203480028083,0.29151097408233045,0.3871330970096471,0.759477276353076,0.8715596358567158,0.8413373920561658
AdaBoostRegressor,0.1480339870181996,0.29617775825405956,0.38475185122127686,0.7690152181559454,0.876977310621632,0.866741614275039,0.1637028011731035,0.3069370131768318,0.40460202813765467,0.7372809166215982,0.8590794366627276,0.8357850303995576
XGBRegressor,0.15464943783834154,0.2988038398942176,0.3932549272906082,0.7586928016942265,0.8721161811028777,0.8648112066706859,0.14844018649562685,0.2935421719077347,0.38527936162689386,0.761775183728148,0.873224738017017,0.8403905991869868
ExtraTreesRegressor,0.12979466321512648,0.27250159343581926,0.3602702641283714,0.7974749409162192,0.8930224335006273,0.8847188057817768,0.14754370124015773,0.2870392105673096,0.38411417734855574,0.7632139116111856,0.8736429810130936,0.839236074337798
LinearRegression,0.13892728490266779,0.28793941408091384,0.37272950634832736,0.7832248577383496,0.8851184155539401,0.8777567678095025,0.15182323803232442,0.29324012641509783,0.38964501540803065,0.7563458801831021,0.8697480246119811,0.8410749148251063
KNeighborsRegressor,0.1424844220787564,0.28852492301787486,0.3774710877388577,0.7776744799422886,0.8825788098812235,0.8713956979585459,0.16611445116284718,0.305431942841746,0.40757140621349675,0.7334105706642007,0.8573654772785274,0.8262799781460562
SVR,0.13686390682395475,0.27997820692005077,0.36995122222254484,0.7864444490293329,0.8868761783517206,0.8753066877377149,0.14766010670712462,0.2808602106442971,0.38426567203840184,0.7630270978403605,0.8746155568709685,0.8464399494279625
MLPRegressor,0.17562442574779238,0.3322481479507731,0.41907568021515207,0.7259644863658651,0.8529207469122065,0.8421895060088747,0.20196609411712757,0.3492632942729775,0.4494063797022997,0.6758739206676102,0.8237297067086263,0.7822792651328302
