,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2581,0.3883,0.5080,0.5973,0.7735,0.7385,0.1864,0.3321,0.4318,0.7008,0.8382,0.8052
DecisionTreeRegressor,0.3857,0.4593,0.6210,0.3982,0.6905,0.6599,0.2231,0.3500,0.4723,0.6419,0.8081,0.7771
RandomForestRegressor,0.2568,0.3819,0.5067,0.5993,0.7759,0.7474,0.1835,0.3267,0.4284,0.7055,0.8403,0.8096
GradientBoostingRegressor,0.2635,0.3986,0.5134,0.5888,0.7673,0.7311,0.1986,0.3493,0.4456,0.6813,0.8283,0.7916
AdaBoostRegressor,0.3281,0.4828,0.5728,0.4880,0.7114,0.6750,0.2941,0.4586,0.5423,0.5281,0.7482,0.6859
XGBRegressor,0.2778,0.3953,0.5271,0.5665,0.7637,0.7375,0.1867,0.3248,0.4321,0.7004,0.8380,0.8139
ExtraTreesRegressor,0.2721,0.3869,0.5216,0.5755,0.7672,0.7421,0.1689,0.3174,0.4110,0.7289,0.8539,0.8288
LinearRegression,0.3720,0.4989,0.6099,0.4196,0.6482,0.5908,0.3841,0.5129,0.6197,0.3836,0.6246,0.5278
KNeighborsRegressor,0.2794,0.3972,0.5286,0.5640,0.7577,0.7269,0.2094,0.3592,0.4576,0.6640,0.8152,0.7749
SVR,0.2884,0.4117,0.5370,0.5501,0.7452,0.7030,0.2252,0.3726,0.4746,0.6385,0.7996,0.7510
MLPRegressor,0.3729,0.4777,0.6107,0.4181,0.6616,0.6357,0.4122,0.4941,0.6420,0.3385,0.6368,0.6160
