,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2114,0.3509,0.4598,0.6701,0.8186,0.8013,0.1601,0.3082,0.4001,0.7431,0.8629,0.8489
DecisionTreeRegressor,0.3238,0.4127,0.5690,0.4947,0.7489,0.7232,0.1874,0.3178,0.4329,0.6993,0.8382,0.8076
RandomForestRegressor,0.1918,0.3283,0.4380,0.7007,0.8372,0.8200,0.1449,0.2869,0.3807,0.7674,0.8779,0.8588
GradientBoostingRegressor,0.2039,0.3469,0.4516,0.6818,0.8276,0.8051,0.1746,0.3255,0.4179,0.7198,0.8528,0.8251
AdaBoostRegressor,0.3055,0.4598,0.5527,0.5233,0.7402,0.7134,0.2652,0.4319,0.5150,0.5744,0.7876,0.7335
XGBRegressor,0.2068,0.3366,0.4547,0.6773,0.8252,0.8087,0.1381,0.2789,0.3716,0.7784,0.8827,0.8661
ExtraTreesRegressor,0.1988,0.3227,0.4459,0.6898,0.8335,0.8192,0.1553,0.2871,0.3940,0.7508,0.8669,0.8351
LinearRegression,0.5065,0.4544,0.7117,0.2098,0.6355,0.7288,0.4041,0.4293,0.6357,0.3515,0.7016,0.7161
KNeighborsRegressor,0.3441,0.4316,0.5866,0.4630,0.6916,0.6777,0.2778,0.3986,0.5271,0.5541,0.7460,0.7117
SVR,0.2608,0.3843,0.5107,0.5931,0.7707,0.7623,0.2056,0.3489,0.4534,0.6701,0.8207,0.8009
MLPRegressor,0.9316,0.6419,0.9652,-0.4536,0.5929,0.6741,0.5042,0.5117,0.7100,0.1909,0.7131,0.7281
