,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2114,0.3509,0.4598,0.6701,0.8186,0.8013,0.1601,0.3082,0.4001,0.7431,0.8629,0.8489
DecisionTreeRegressor,0.3249,0.4159,0.5700,0.4931,0.7466,0.7220,0.1836,0.3163,0.4285,0.7053,0.8407,0.8107
RandomForestRegressor,0.1927,0.3303,0.4390,0.6993,0.8364,0.8187,0.1455,0.2875,0.3814,0.7665,0.8773,0.8586
GradientBoostingRegressor,0.2029,0.3461,0.4504,0.6835,0.8286,0.8066,0.1734,0.3243,0.4164,0.7217,0.8541,0.8270
AdaBoostRegressor,0.3079,0.4644,0.5549,0.5196,0.7367,0.6946,0.2667,0.4348,0.5164,0.5720,0.7842,0.7265
XGBRegressor,0.2068,0.3366,0.4547,0.6773,0.8252,0.8087,0.1381,0.2789,0.3716,0.7784,0.8827,0.8661
ExtraTreesRegressor,0.1950,0.3192,0.4416,0.6958,0.8369,0.8219,0.1558,0.2873,0.3947,0.7500,0.8664,0.8364
LinearRegression,0.5065,0.4544,0.7117,0.2098,0.6355,0.7288,0.4041,0.4293,0.6357,0.3515,0.7016,0.7161
KNeighborsRegressor,0.3441,0.4316,0.5866,0.4630,0.6916,0.6777,0.2778,0.3986,0.5271,0.5541,0.7460,0.7117
SVR,0.2608,0.3843,0.5107,0.5931,0.7707,0.7622,0.2056,0.3489,0.4534,0.6701,0.8207,0.8009
MLPRegressor,0.9456,0.6532,0.9724,-0.4754,0.5770,0.6514,0.6255,0.5436,0.7909,-0.0038,0.6565,0.7034
