,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1928,0.3343,0.4391,0.6991,0.8364,0.8263,0.1615,0.2990,0.4019,0.7408,0.8619,0.8504
DecisionTreeRegressor,0.4145,0.4737,0.6438,0.3532,0.6743,0.6511,0.2391,0.3670,0.4890,0.6163,0.7917,0.7761
RandomForestRegressor,0.2097,0.3525,0.4580,0.6727,0.8218,0.8095,0.1847,0.3269,0.4298,0.7036,0.8423,0.8308
GradientBoostingRegressor,0.1994,0.3418,0.4465,0.6889,0.8304,0.8155,0.1676,0.3076,0.4093,0.7311,0.8565,0.8390
AdaBoostRegressor,0.2481,0.4031,0.4981,0.6129,0.7897,0.7659,0.2135,0.3706,0.4621,0.6574,0.8245,0.7755
XGBRegressor,0.2183,0.3542,0.4673,0.6593,0.8124,0.7991,0.1644,0.3091,0.4054,0.7362,0.8596,0.8494
ExtraTreesRegressor,0.1779,0.3210,0.4217,0.7225,0.8516,0.8385,0.1401,0.2873,0.3743,0.7752,0.8828,0.8758
LinearRegression,1.8556,1.0049,1.3622,-1.8954,0.3994,0.4572,0.8006,0.7062,0.8948,-0.2849,0.5455,0.5915
KNeighborsRegressor,0.2329,0.3608,0.4826,0.6365,0.8024,0.7851,0.1793,0.3094,0.4234,0.7123,0.8460,0.8267
SVR,0.2165,0.3544,0.4653,0.6622,0.8150,0.8026,0.1681,0.3196,0.4100,0.7303,0.8568,0.8409
MLPRegressor,1.2563,0.8649,1.1208,-0.9603,0.4403,0.4652,0.4631,0.5164,0.6805,0.2568,0.6790,0.7082
