,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1891,0.3319,0.4349,0.7049,0.8399,0.8286,0.1635,0.3026,0.4043,0.7377,0.8597,0.8461
DecisionTreeRegressor,0.4089,0.4741,0.6394,0.3620,0.6774,0.6582,0.2073,0.3407,0.4553,0.6673,0.8191,0.7976
RandomForestRegressor,0.2064,0.3481,0.4543,0.6779,0.8250,0.8111,0.1751,0.3178,0.4185,0.7189,0.8511,0.8393
GradientBoostingRegressor,0.2050,0.3446,0.4528,0.6801,0.8251,0.8086,0.1661,0.3068,0.4076,0.7334,0.8581,0.8396
AdaBoostRegressor,0.2532,0.4076,0.5032,0.6049,0.7835,0.7635,0.2166,0.3711,0.4654,0.6524,0.8218,0.7806
XGBRegressor,0.2146,0.3502,0.4633,0.6651,0.8159,0.8067,0.1643,0.3051,0.4054,0.7363,0.8594,0.8413
ExtraTreesRegressor,0.1755,0.3176,0.4189,0.7262,0.8539,0.8422,0.1384,0.2846,0.3721,0.7778,0.8850,0.8781
LinearRegression,2.5578,1.2419,1.5993,-2.9911,0.3116,0.3451,1.7278,1.1085,1.3145,-1.7729,0.4264,0.4852
KNeighborsRegressor,0.2274,0.3569,0.4769,0.6452,0.8076,0.7923,0.1619,0.3011,0.4024,0.7402,0.8616,0.8379
SVR,0.2138,0.3515,0.4624,0.6664,0.8177,0.8079,0.1635,0.3124,0.4043,0.7376,0.8609,0.8439
MLPRegressor,1.9461,0.9236,1.3950,-2.0366,0.2490,0.3681,0.8104,0.6492,0.9002,-0.3006,0.3880,0.4859
