,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1928,0.3343,0.4391,0.6991,0.8364,0.8263,0.1615,0.2990,0.4019,0.7408,0.8619,0.8504
DecisionTreeRegressor,0.4170,0.4740,0.6457,0.3494,0.6759,0.6579,0.2393,0.3626,0.4892,0.6160,0.7906,0.7730
RandomForestRegressor,0.2098,0.3528,0.4580,0.6727,0.8217,0.8094,0.1835,0.3251,0.4283,0.7056,0.8434,0.8316
GradientBoostingRegressor,0.2005,0.3425,0.4478,0.6871,0.8292,0.8148,0.1669,0.3068,0.4086,0.7321,0.8570,0.8396
AdaBoostRegressor,0.2435,0.3985,0.4934,0.6201,0.7945,0.7699,0.2136,0.3692,0.4621,0.6572,0.8268,0.7832
XGBRegressor,0.2183,0.3542,0.4673,0.6593,0.8124,0.7991,0.1644,0.3091,0.4054,0.7362,0.8596,0.8494
ExtraTreesRegressor,0.1765,0.3183,0.4202,0.7246,0.8533,0.8434,0.1404,0.2868,0.3747,0.7747,0.8825,0.8767
LinearRegression,1.8556,1.0049,1.3622,-1.8954,0.3994,0.4572,0.8006,0.7062,0.8948,-0.2849,0.5455,0.5915
KNeighborsRegressor,0.2329,0.3608,0.4826,0.6365,0.8024,0.7851,0.1793,0.3094,0.4234,0.7123,0.8460,0.8267
SVR,0.2165,0.3544,0.4653,0.6622,0.8150,0.8026,0.1681,0.3196,0.4100,0.7303,0.8568,0.8410
MLPRegressor,1.9264,0.9771,1.3879,-2.0058,0.2128,0.2993,0.7411,0.6406,0.8609,-0.1894,0.4243,0.4796
