,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1847,0.3288,0.4298,0.7118,0.8438,0.8352,0.1371,0.2807,0.3703,0.7800,0.8848,0.8730
DecisionTreeRegressor,0.4048,0.4730,0.6362,0.3684,0.6865,0.6612,0.1903,0.3280,0.4363,0.6946,0.8351,0.8254
RandomForestRegressor,0.1918,0.3356,0.4380,0.7007,0.8394,0.8333,0.1487,0.2956,0.3856,0.7614,0.8768,0.8626
GradientBoostingRegressor,0.1898,0.3327,0.4357,0.7038,0.8395,0.8261,0.1420,0.2860,0.3769,0.7721,0.8802,0.8662
AdaBoostRegressor,0.2446,0.3998,0.4946,0.6184,0.7929,0.7617,0.2035,0.3614,0.4511,0.6734,0.8342,0.7958
XGBRegressor,0.2044,0.3398,0.4522,0.6810,0.8257,0.8167,0.1469,0.2911,0.3833,0.7642,0.8745,0.8685
ExtraTreesRegressor,0.1797,0.3132,0.4239,0.7196,0.8486,0.8467,0.1332,0.2776,0.3649,0.7863,0.8884,0.8761
LinearRegression,10.7969,3.0627,3.2859,-15.8469,0.0418,0.0138,2.9768,1.4504,1.7253,-3.7774,-0.0810,-0.0612
KNeighborsRegressor,0.2267,0.3562,0.4761,0.6463,0.8073,0.7918,0.1756,0.3089,0.4190,0.7182,0.8498,0.8231
SVR,0.2110,0.3470,0.4594,0.6707,0.8200,0.8089,0.1675,0.3163,0.4093,0.7312,0.8572,0.8419
MLPRegressor,1.2095,0.8273,1.0998,-0.8872,0.4506,0.4628,0.3991,0.4723,0.6318,0.3595,0.6798,0.6930
