,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1967,0.3347,0.4435,0.6931,0.8327,0.8235,0.1479,0.2919,0.3846,0.7627,0.8749,0.8593
DecisionTreeRegressor,0.3699,0.4410,0.6082,0.4228,0.7081,0.6887,0.1952,0.3229,0.4418,0.6867,0.8311,0.8021
RandomForestRegressor,0.1979,0.3424,0.4448,0.6912,0.8339,0.8237,0.1635,0.3082,0.4043,0.7376,0.8626,0.8435
GradientBoostingRegressor,0.2011,0.3433,0.4484,0.6863,0.8291,0.8169,0.1652,0.3130,0.4064,0.7349,0.8592,0.8388
AdaBoostRegressor,0.2630,0.4200,0.5128,0.5896,0.7747,0.7405,0.2292,0.3876,0.4787,0.6322,0.8073,0.7604
XGBRegressor,0.2164,0.3492,0.4652,0.6623,0.8145,0.8063,0.1488,0.2912,0.3858,0.7612,0.8737,0.8588
ExtraTreesRegressor,0.1804,0.3180,0.4247,0.7186,0.8481,0.8409,0.1449,0.2879,0.3807,0.7674,0.8775,0.8622
LinearRegression,0.3355,0.4097,0.5792,0.4766,0.7388,0.7704,0.3029,0.3700,0.5503,0.5140,0.7593,0.8149
KNeighborsRegressor,0.2277,0.3542,0.4771,0.6448,0.8089,0.7944,0.1663,0.3014,0.4078,0.7331,0.8593,0.8410
SVR,0.1942,0.3344,0.4407,0.6970,0.8355,0.8288,0.1672,0.3121,0.4089,0.7317,0.8565,0.8418
MLPRegressor,0.3974,0.4804,0.6304,0.3799,0.7094,0.7156,0.3101,0.4049,0.5569,0.5023,0.7520,0.7496
