,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1847,0.3288,0.4298,0.7118,0.8438,0.8352,0.1371,0.2807,0.3703,0.7800,0.8848,0.8730
DecisionTreeRegressor,0.3808,0.4583,0.6171,0.4058,0.7049,0.6783,0.1930,0.3305,0.4393,0.6903,0.8318,0.8180
RandomForestRegressor,0.1908,0.3356,0.4368,0.7023,0.8403,0.8337,0.1496,0.2965,0.3868,0.7599,0.8760,0.8624
GradientBoostingRegressor,0.1907,0.3330,0.4367,0.7024,0.8386,0.8254,0.1420,0.2860,0.3768,0.7722,0.8804,0.8658
AdaBoostRegressor,0.2395,0.3969,0.4893,0.6264,0.7990,0.7741,0.2097,0.3671,0.4579,0.6635,0.8285,0.7831
XGBRegressor,0.2044,0.3398,0.4522,0.6810,0.8257,0.8167,0.1469,0.2911,0.3833,0.7642,0.8745,0.8685
ExtraTreesRegressor,0.1755,0.3101,0.4189,0.7262,0.8525,0.8505,0.1327,0.2779,0.3643,0.7870,0.8887,0.8774
LinearRegression,10.7969,3.0627,3.2859,-15.8469,0.0418,0.0138,2.9768,1.4504,1.7253,-3.7774,-0.0810,-0.0612
KNeighborsRegressor,0.2267,0.3562,0.4761,0.6463,0.8073,0.7918,0.1756,0.3089,0.4190,0.7182,0.8498,0.8231
SVR,0.2110,0.3470,0.4594,0.6707,0.8200,0.8089,0.1675,0.3163,0.4093,0.7312,0.8572,0.8420
MLPRegressor,1.5463,0.8586,1.2435,-1.4128,0.3943,0.4892,0.4287,0.5127,0.6547,0.3121,0.6545,0.6830
