,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1909,0.3308,0.4369,0.7022,0.8380,0.8245,0.1412,0.2871,0.3758,0.7734,0.8809,0.8670
DecisionTreeRegressor,0.3610,0.4388,0.6008,0.4368,0.7146,0.6909,0.2043,0.3458,0.4520,0.6721,0.8228,0.8081
RandomForestRegressor,0.1926,0.3376,0.4389,0.6994,0.8386,0.8296,0.1544,0.2991,0.3930,0.7522,0.8715,0.8566
GradientBoostingRegressor,0.1965,0.3396,0.4433,0.6934,0.8330,0.8165,0.1480,0.2914,0.3847,0.7625,0.8745,0.8625
AdaBoostRegressor,0.2440,0.4026,0.4939,0.6193,0.7951,0.7638,0.2093,0.3724,0.4575,0.6642,0.8287,0.7919
XGBRegressor,0.2135,0.3462,0.4621,0.6668,0.8179,0.8070,0.1505,0.2911,0.3879,0.7585,0.8713,0.8563
ExtraTreesRegressor,0.1790,0.3158,0.4231,0.7207,0.8494,0.8465,0.1391,0.2846,0.3729,0.7768,0.8828,0.8699
LinearRegression,10.6503,3.0474,3.2635,-15.6182,0.0653,0.0482,3.1195,1.4222,1.7662,-4.0063,0.0150,0.0200
KNeighborsRegressor,0.2305,0.3579,0.4801,0.6403,0.8043,0.7871,0.1791,0.3117,0.4232,0.7126,0.8469,0.8207
SVR,0.2142,0.3513,0.4628,0.6658,0.8169,0.8024,0.1728,0.3216,0.4157,0.7226,0.8513,0.8336
MLPRegressor,0.5230,0.5485,0.7232,0.1839,0.6802,0.7059,0.3557,0.4585,0.5964,0.4291,0.7606,0.7537
