,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1856,0.3234,0.4308,0.7104,0.8431,0.8338,0.1392,0.2856,0.3731,0.7766,0.8823,0.8698
DecisionTreeRegressor,0.3760,0.4508,0.6132,0.4134,0.7036,0.6767,0.1642,0.3083,0.4052,0.7365,0.8590,0.8517
RandomForestRegressor,0.1957,0.3395,0.4424,0.6946,0.8353,0.8268,0.1494,0.2941,0.3865,0.7602,0.8757,0.8615
GradientBoostingRegressor,0.2008,0.3433,0.4481,0.6868,0.8290,0.8128,0.1484,0.2944,0.3852,0.7619,0.8744,0.8600
AdaBoostRegressor,0.2547,0.4098,0.5047,0.6026,0.7825,0.7587,0.2132,0.3723,0.4617,0.6579,0.8238,0.7825
XGBRegressor,0.2087,0.3381,0.4568,0.6744,0.8221,0.8163,0.1476,0.2856,0.3841,0.7632,0.8740,0.8628
ExtraTreesRegressor,0.1761,0.3122,0.4197,0.7252,0.8521,0.8475,0.1412,0.2825,0.3757,0.7734,0.8805,0.8661
LinearRegression,1.6879,0.8808,1.2992,-1.6338,0.4258,0.5145,0.7042,0.6028,0.8391,-0.1301,0.5429,0.5850
KNeighborsRegressor,0.2241,0.3525,0.4733,0.6504,0.8110,0.7948,0.1693,0.3054,0.4114,0.7283,0.8565,0.8347
SVR,0.2110,0.3486,0.4594,0.6707,0.8198,0.8057,0.1679,0.3149,0.4097,0.7306,0.8557,0.8372
MLPRegressor,0.7982,0.6439,0.8934,-0.2454,0.5258,0.5425,0.3893,0.4603,0.6239,0.3752,0.6881,0.6869
