,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1909,0.3308,0.4369,0.7022,0.8380,0.8245,0.1412,0.2871,0.3758,0.7734,0.8809,0.8670
DecisionTreeRegressor,0.3693,0.4449,0.6077,0.4238,0.7166,0.6994,0.2061,0.3411,0.4540,0.6693,0.8214,0.8021
RandomForestRegressor,0.1930,0.3396,0.4393,0.6988,0.8384,0.8301,0.1542,0.2996,0.3926,0.7526,0.8719,0.8569
GradientBoostingRegressor,0.1965,0.3401,0.4433,0.6934,0.8330,0.8163,0.1477,0.2916,0.3843,0.7629,0.8747,0.8625
AdaBoostRegressor,0.2491,0.4070,0.4991,0.6113,0.7897,0.7624,0.2108,0.3717,0.4591,0.6617,0.8269,0.7881
XGBRegressor,0.2135,0.3462,0.4621,0.6668,0.8179,0.8070,0.1505,0.2911,0.3879,0.7585,0.8713,0.8563
ExtraTreesRegressor,0.1780,0.3161,0.4219,0.7222,0.8503,0.8485,0.1388,0.2832,0.3726,0.7772,0.8831,0.8699
LinearRegression,10.6503,3.0474,3.2635,-15.6182,0.0653,0.0482,3.1195,1.4222,1.7662,-4.0063,0.0150,0.0228
KNeighborsRegressor,0.2305,0.3579,0.4801,0.6403,0.8043,0.7871,0.1791,0.3117,0.4232,0.7126,0.8469,0.8207
SVR,0.2141,0.3514,0.4628,0.6659,0.8169,0.8024,0.1728,0.3216,0.4157,0.7226,0.8513,0.8336
MLPRegressor,0.7612,0.6333,0.8725,-0.1878,0.6342,0.6574,0.5131,0.5206,0.7163,0.1766,0.6953,0.6935
