,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1928,0.3296,0.4391,0.6992,0.8363,0.8248,0.1322,0.2769,0.3636,0.7878,0.8895,0.8754
DecisionTreeRegressor,0.3803,0.4487,0.6167,0.4066,0.7013,0.6715,0.1844,0.3152,0.4294,0.7040,0.8406,0.8341
RandomForestRegressor,0.1993,0.3419,0.4464,0.6890,0.8314,0.8189,0.1430,0.2857,0.3782,0.7705,0.8818,0.8711
GradientBoostingRegressor,0.2103,0.3492,0.4586,0.6718,0.8197,0.8054,0.1459,0.2911,0.3819,0.7659,0.8775,0.8622
AdaBoostRegressor,0.2631,0.4189,0.5130,0.5894,0.7753,0.7524,0.2272,0.3884,0.4767,0.6353,0.8106,0.7556
XGBRegressor,0.2075,0.3404,0.4555,0.6762,0.8231,0.8187,0.1334,0.2702,0.3652,0.7859,0.8880,0.8813
ExtraTreesRegressor,0.1842,0.3175,0.4291,0.7126,0.8443,0.8364,0.1351,0.2768,0.3676,0.7832,0.8865,0.8762
LinearRegression,2.8989,1.2209,1.7026,-3.5233,0.3075,0.3808,1.1249,0.8289,1.0606,-0.8052,0.3837,0.4403
KNeighborsRegressor,0.2250,0.3565,0.4743,0.6490,0.8086,0.7933,0.1758,0.3073,0.4193,0.7178,0.8487,0.8228
SVR,0.2146,0.3503,0.4632,0.6652,0.8165,0.8069,0.1696,0.3129,0.4118,0.7278,0.8572,0.8420
MLPRegressor,0.8959,0.7067,0.9465,-0.3979,0.4956,0.4845,0.4071,0.4900,0.6380,0.3467,0.6882,0.7047
