,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1932,0.3320,0.4395,0.6986,0.8360,0.8280,0.1291,0.2722,0.3593,0.7928,0.8920,0.8800
DecisionTreeRegressor,0.3970,0.4582,0.6301,0.3805,0.6874,0.6667,0.1697,0.3139,0.4120,0.7276,0.8530,0.8385
RandomForestRegressor,0.2004,0.3417,0.4477,0.6873,0.8307,0.8195,0.1443,0.2888,0.3799,0.7684,0.8808,0.8738
GradientBoostingRegressor,0.2081,0.3492,0.4562,0.6753,0.8221,0.8052,0.1473,0.2917,0.3839,0.7635,0.8769,0.8644
AdaBoostRegressor,0.2547,0.4130,0.5047,0.6026,0.7849,0.7530,0.2125,0.3715,0.4610,0.6590,0.8296,0.7846
XGBRegressor,0.2067,0.3405,0.4547,0.6774,0.8237,0.8126,0.1392,0.2806,0.3731,0.7766,0.8820,0.8750
ExtraTreesRegressor,0.1857,0.3197,0.4309,0.7102,0.8430,0.8368,0.1346,0.2782,0.3669,0.7839,0.8869,0.8749
LinearRegression,4.4331,1.6396,2.1055,-5.9172,0.2210,0.2526,1.6595,0.9922,1.2882,-1.6632,0.2103,0.3003
KNeighborsRegressor,0.2328,0.3609,0.4825,0.6367,0.8020,0.7872,0.1866,0.3121,0.4320,0.7005,0.8388,0.8090
SVR,0.2164,0.3498,0.4652,0.6623,0.8147,0.8035,0.1754,0.3192,0.4188,0.7185,0.8512,0.8382
MLPRegressor,0.8672,0.6820,0.9312,-0.3532,0.5188,0.5468,0.4647,0.5284,0.6817,0.2542,0.6639,0.6801
