,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1932,0.3320,0.4395,0.6986,0.8360,0.8280,0.1291,0.2722,0.3593,0.7928,0.8920,0.8800
DecisionTreeRegressor,0.3846,0.4575,0.6201,0.4000,0.6952,0.6739,0.1650,0.3101,0.4063,0.7351,0.8574,0.8395
RandomForestRegressor,0.1993,0.3407,0.4465,0.6890,0.8318,0.8210,0.1441,0.2877,0.3796,0.7687,0.8810,0.8738
GradientBoostingRegressor,0.2090,0.3492,0.4572,0.6739,0.8211,0.8041,0.1476,0.2924,0.3842,0.7632,0.8766,0.8628
AdaBoostRegressor,0.2597,0.4168,0.5096,0.5948,0.7813,0.7532,0.2186,0.3754,0.4675,0.6492,0.8230,0.7874
XGBRegressor,0.2067,0.3405,0.4547,0.6774,0.8237,0.8126,0.1392,0.2806,0.3731,0.7766,0.8820,0.8750
ExtraTreesRegressor,0.1868,0.3213,0.4322,0.7085,0.8421,0.8356,0.1337,0.2757,0.3657,0.7854,0.8879,0.8782
LinearRegression,4.4331,1.6396,2.1055,-5.9172,0.2210,0.2526,1.6595,0.9922,1.2882,-1.6632,0.2103,0.3003
KNeighborsRegressor,0.2322,0.3604,0.4819,0.6377,0.8026,0.7878,0.1869,0.3124,0.4323,0.7000,0.8386,0.8088
SVR,0.2165,0.3498,0.4652,0.6623,0.8147,0.8036,0.1754,0.3192,0.4188,0.7185,0.8511,0.8382
MLPRegressor,0.8743,0.6936,0.9350,-0.3642,0.5042,0.5127,0.4247,0.5153,0.6517,0.3185,0.6667,0.6758
