,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1830,0.3251,0.4278,0.7145,0.8455,0.8327,0.1336,0.2767,0.3655,0.7856,0.8870,0.8732
DecisionTreeRegressor,0.3377,0.4220,0.5811,0.4731,0.7296,0.7142,0.1876,0.3213,0.4332,0.6989,0.8389,0.8055
RandomForestRegressor,0.1988,0.3370,0.4458,0.6899,0.8311,0.8211,0.1442,0.2838,0.3797,0.7686,0.8782,0.8650
GradientBoostingRegressor,0.2027,0.3489,0.4502,0.6837,0.8275,0.8131,0.1464,0.2946,0.3826,0.7651,0.8765,0.8660
AdaBoostRegressor,0.2744,0.4360,0.5238,0.5719,0.7636,0.7329,0.2488,0.4089,0.4988,0.6006,0.7848,0.7332
XGBRegressor,0.2015,0.3343,0.4488,0.6857,0.8295,0.8176,0.1374,0.2766,0.3707,0.7795,0.8832,0.8690
ExtraTreesRegressor,0.1876,0.3240,0.4331,0.7073,0.8411,0.8317,0.1347,0.2795,0.3670,0.7838,0.8858,0.8765
LinearRegression,0.3199,0.4064,0.5656,0.5008,0.7340,0.7761,0.3663,0.4189,0.6052,0.4122,0.7027,0.7388
KNeighborsRegressor,0.2333,0.3573,0.4830,0.6360,0.8020,0.7806,0.1766,0.3177,0.4202,0.7166,0.8489,0.8295
SVR,0.2185,0.3591,0.4674,0.6591,0.8128,0.8010,0.1669,0.3123,0.4085,0.7322,0.8566,0.8365
MLPRegressor,0.3913,0.4682,0.6256,0.3894,0.6904,0.7148,0.2943,0.4156,0.5425,0.5277,0.7572,0.7877
