,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1974,0.3369,0.4442,0.6921,0.8319,0.8157,0.1339,0.2782,0.3660,0.7850,0.8869,0.8692
DecisionTreeRegressor,0.3676,0.4484,0.6063,0.4265,0.7088,0.6876,0.1794,0.3240,0.4236,0.7121,0.8457,0.8235
RandomForestRegressor,0.2040,0.3425,0.4517,0.6816,0.8259,0.8116,0.1467,0.2875,0.3831,0.7645,0.8757,0.8608
GradientBoostingRegressor,0.2073,0.3510,0.4553,0.6765,0.8229,0.8037,0.1562,0.3027,0.3952,0.7494,0.8676,0.8503
AdaBoostRegressor,0.2831,0.4412,0.5321,0.5582,0.7533,0.7297,0.2546,0.4183,0.5045,0.5915,0.7788,0.7288
XGBRegressor,0.2141,0.3472,0.4627,0.6659,0.8176,0.8017,0.1451,0.2885,0.3809,0.7671,0.8761,0.8605
ExtraTreesRegressor,0.1961,0.3324,0.4428,0.6941,0.8333,0.8177,0.1393,0.2820,0.3732,0.7765,0.8814,0.8719
LinearRegression,0.3204,0.4086,0.5661,0.5000,0.7346,0.7772,0.2409,0.3757,0.4908,0.6134,0.7890,0.7746
KNeighborsRegressor,0.2399,0.3620,0.4898,0.6257,0.7958,0.7732,0.1760,0.3149,0.4195,0.7176,0.8498,0.8287
SVR,0.2186,0.3586,0.4675,0.6590,0.8128,0.8004,0.1667,0.3102,0.4083,0.7325,0.8569,0.8382
MLPRegressor,0.4524,0.5000,0.6726,0.2941,0.6891,0.6955,0.3241,0.4284,0.5693,0.4799,0.7659,0.7681
