,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1830,0.3251,0.4278,0.7145,0.8455,0.8327,0.1336,0.2767,0.3655,0.7856,0.8870,0.8732
DecisionTreeRegressor,0.3494,0.4333,0.5911,0.4548,0.7219,0.7045,0.1763,0.3106,0.4199,0.7170,0.8479,0.8137
RandomForestRegressor,0.1988,0.3374,0.4459,0.6898,0.8310,0.8202,0.1436,0.2829,0.3790,0.7695,0.8788,0.8651
GradientBoostingRegressor,0.2030,0.3487,0.4506,0.6832,0.8272,0.8132,0.1465,0.2944,0.3828,0.7649,0.8764,0.8670
AdaBoostRegressor,0.2782,0.4363,0.5275,0.5658,0.7586,0.7386,0.2470,0.4094,0.4970,0.6036,0.7892,0.7419
XGBRegressor,0.2015,0.3343,0.4488,0.6857,0.8295,0.8176,0.1374,0.2766,0.3707,0.7795,0.8832,0.8690
ExtraTreesRegressor,0.1859,0.3223,0.4311,0.7100,0.8427,0.8317,0.1350,0.2790,0.3674,0.7833,0.8857,0.8776
LinearRegression,0.3199,0.4064,0.5656,0.5008,0.7340,0.7761,0.3663,0.4189,0.6052,0.4122,0.7027,0.7388
KNeighborsRegressor,0.2340,0.3577,0.4837,0.6349,0.8013,0.7799,0.1768,0.3181,0.4205,0.7162,0.8486,0.8295
SVR,0.2185,0.3591,0.4674,0.6591,0.8128,0.8010,0.1669,0.3124,0.4086,0.7321,0.8565,0.8364
MLPRegressor,0.4168,0.4838,0.6456,0.3497,0.6735,0.7078,0.3454,0.4437,0.5877,0.4457,0.7191,0.7601
