,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2951,0.4299,0.5432,0.5396,0.7347,0.6982,0.2378,0.3885,0.4877,0.6183,0.7882,0.7525
DecisionTreeRegressor,0.6426,0.6190,0.8016,-0.0027,0.4893,0.4562,0.3279,0.4517,0.5726,0.4738,0.6938,0.6341
RandomForestRegressor,0.3137,0.4517,0.5601,0.5105,0.7149,0.6639,0.2732,0.4150,0.5227,0.5615,0.7525,0.7131
GradientBoostingRegressor,0.3104,0.4432,0.5571,0.5157,0.7182,0.6731,0.2499,0.3987,0.4999,0.5990,0.7769,0.7244
AdaBoostRegressor,0.3585,0.5033,0.5988,0.4406,0.6684,0.6081,0.3212,0.4731,0.5668,0.4845,0.7092,0.6577
XGBRegressor,0.3340,0.4535,0.5780,0.4788,0.6970,0.6486,0.2425,0.3919,0.4924,0.6108,0.7826,0.7552
ExtraTreesRegressor,0.2958,0.4375,0.5439,0.5385,0.7355,0.6904,0.2513,0.4030,0.5013,0.5967,0.7785,0.7240
LinearRegression,0.4692,0.5399,0.6850,0.2679,0.6338,0.6168,0.4158,0.5169,0.6449,0.3326,0.6505,0.6121
KNeighborsRegressor,0.3942,0.4869,0.6278,0.3850,0.6401,0.5687,0.2801,0.4152,0.5293,0.5505,0.7449,0.6676
SVR,0.3126,0.4470,0.5591,0.5123,0.7199,0.6724,0.2525,0.3959,0.5025,0.5947,0.7739,0.7119
MLPRegressor,0.8949,0.7530,0.9460,-0.3964,0.4672,0.4426,0.6894,0.6513,0.8303,-0.1064,0.5505,0.5298
