,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5084,0.5973,0.7130,0.2067,0.4751,0.3587,0.4468,0.5552,0.6684,0.2830,0.5420,0.3701
DecisionTreeRegressor,0.8859,0.7357,0.9412,-0.3822,0.3226,0.2901,0.5816,0.6239,0.7626,0.0666,0.4079,0.2401
RandomForestRegressor,0.4878,0.5876,0.6984,0.2389,0.4976,0.3883,0.4370,0.5527,0.6611,0.2987,0.5527,0.3809
GradientBoostingRegressor,0.4844,0.5849,0.6960,0.2442,0.4977,0.3734,0.4378,0.5625,0.6616,0.2975,0.5487,0.3801
AdaBoostRegressor,0.4975,0.6165,0.7054,0.2237,0.4811,0.3029,0.4587,0.5844,0.6772,0.2639,0.5282,0.3462
XGBRegressor,0.5800,0.6306,0.7616,0.0950,0.4238,0.3257,0.4671,0.5692,0.6835,0.2503,0.5262,0.3678
ExtraTreesRegressor,0.5069,0.5971,0.7120,0.2090,0.4822,0.3811,0.4555,0.5628,0.6749,0.2690,0.5375,0.3706
LinearRegression,0.4856,0.5938,0.6968,0.2424,0.4928,0.4061,0.4566,0.5664,0.6758,0.2672,0.5175,0.3766
KNeighborsRegressor,0.6327,0.6461,0.7955,0.0127,0.3620,0.2822,0.4971,0.5769,0.7050,0.2022,0.4846,0.3483
SVR,0.5337,0.6012,0.7306,0.1672,0.4368,0.3372,0.4424,0.5473,0.6651,0.2900,0.5401,0.4172
MLPRegressor,0.5182,0.6043,0.7199,0.1914,0.4620,0.3761,0.4563,0.5605,0.6755,0.2677,0.5228,0.3894
