,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2942,0.4307,0.5424,0.5410,0.7355,0.6980,0.2307,0.3767,0.4804,0.6297,0.7955,0.7632
DecisionTreeRegressor,0.6341,0.5980,0.7963,0.0106,0.5070,0.4796,0.3265,0.4317,0.5714,0.4760,0.6967,0.6283
RandomForestRegressor,0.3079,0.4481,0.5549,0.5196,0.7213,0.6778,0.2710,0.4084,0.5206,0.5651,0.7546,0.7170
GradientBoostingRegressor,0.3047,0.4400,0.5520,0.5246,0.7243,0.6789,0.2435,0.3939,0.4934,0.6092,0.7831,0.7265
AdaBoostRegressor,0.3599,0.5045,0.6000,0.4384,0.6692,0.6073,0.3239,0.4765,0.5691,0.4802,0.7080,0.6504
XGBRegressor,0.3364,0.4521,0.5800,0.4751,0.6944,0.6481,0.2466,0.3880,0.4966,0.6043,0.7789,0.7401
ExtraTreesRegressor,0.2875,0.4332,0.5362,0.5514,0.7449,0.7041,0.2496,0.4018,0.4996,0.5995,0.7803,0.7325
LinearRegression,0.5699,0.5803,0.7549,0.1108,0.5951,0.5981,0.3982,0.5058,0.6310,0.3609,0.6759,0.6471
KNeighborsRegressor,0.4209,0.5074,0.6488,0.3432,0.6135,0.5394,0.2930,0.4271,0.5413,0.5297,0.7332,0.6553
SVR,0.3204,0.4519,0.5661,0.5000,0.7109,0.6617,0.2567,0.4007,0.5066,0.5881,0.7686,0.7048
MLPRegressor,1.0794,0.8102,1.0389,-0.6842,0.4200,0.3999,0.7239,0.6695,0.8508,-0.1618,0.5493,0.5292
