,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.0637,0.1858,0.2524,0.9006,0.9490,0.9500,0.2929,0.4066,0.5412,0.5299,0.7390,0.6944
DecisionTreeRegressor,0.1440,0.2783,0.3795,0.7753,0.8879,0.8957,0.3091,0.4191,0.5560,0.5039,0.7253,0.6810
RandomForestRegressor,0.0642,0.1889,0.2534,0.8998,0.9486,0.9495,0.2950,0.4098,0.5432,0.5265,0.7350,0.6886
GradientBoostingRegressor,0.0650,0.1859,0.2549,0.8987,0.9480,0.9483,0.2963,0.4090,0.5444,0.5244,0.7361,0.6928
AdaBoostRegressor,0.0760,0.2067,0.2758,0.8813,0.9390,0.9366,0.2966,0.4182,0.5446,0.5240,0.7315,0.6885
XGBRegressor,0.0761,0.2063,0.2758,0.8813,0.9390,0.9400,0.2884,0.4065,0.5371,0.5371,0.7427,0.6975
ExtraTreesRegressor,0.0666,0.1881,0.2581,0.8961,0.9466,0.9475,0.2888,0.4041,0.5374,0.5365,0.7413,0.6953
LinearRegression,3.3631,1.4305,1.8339,-4.2476,0.3163,0.3301,1.2803,0.8630,1.1315,-1.0547,0.2639,0.2784
KNeighborsRegressor,0.0896,0.2268,0.2994,0.8601,0.9278,0.9219,0.2860,0.3933,0.5348,0.5411,0.7477,0.7156
SVR,0.0588,0.1767,0.2424,0.9083,0.9532,0.9580,0.2800,0.3980,0.5292,0.5506,0.7494,0.7121
MLPRegressor,0.6912,0.6199,0.8314,-0.0785,0.7666,0.7768,0.6878,0.6310,0.8293,-0.1038,0.6294,0.5823
