,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1488,0.2948,0.3857,0.7678,0.8763,0.8646,0.1873,0.3233,0.4328,0.6994,0.8364,0.7893
DecisionTreeRegressor,0.3020,0.4106,0.5495,0.5288,0.7648,0.7544,0.2292,0.3597,0.4788,0.6321,0.7973,0.7634
RandomForestRegressor,0.1498,0.2964,0.3870,0.7663,0.8762,0.8638,0.1904,0.3289,0.4364,0.6944,0.8335,0.7890
GradientBoostingRegressor,0.1509,0.2971,0.3885,0.7645,0.8744,0.8605,0.1961,0.3324,0.4428,0.6853,0.8282,0.7785
AdaBoostRegressor,0.1572,0.3124,0.3965,0.7547,0.8713,0.8569,0.2145,0.3638,0.4632,0.6557,0.8112,0.7589
XGBRegressor,0.1711,0.3145,0.4137,0.7330,0.8565,0.8441,0.1930,0.3303,0.4393,0.6903,0.8309,0.7896
ExtraTreesRegressor,0.1475,0.2939,0.3841,0.7698,0.8780,0.8683,0.1818,0.3198,0.4263,0.7083,0.8419,0.7988
LinearRegression,3.9560,1.6098,1.9890,-5.1727,0.2572,0.2756,1.4781,0.9322,1.2158,-1.3721,0.2533,0.2718
KNeighborsRegressor,0.1927,0.3317,0.4390,0.6993,0.8392,0.8245,0.1850,0.3259,0.4301,0.7031,0.8392,0.7988
SVR,0.1512,0.3003,0.3888,0.7641,0.8742,0.8686,0.1830,0.3249,0.4277,0.7064,0.8415,0.8066
MLPRegressor,0.4772,0.5318,0.6908,0.2553,0.6872,0.6797,0.4124,0.4805,0.6422,0.3381,0.6899,0.6639
