,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.0546,0.1766,0.2336,0.9149,0.9566,0.9505,0.2519,0.3734,0.5019,0.5957,0.7793,0.7389
DecisionTreeRegressor,0.1266,0.2717,0.3558,0.8025,0.9001,0.8851,0.2608,0.3830,0.5107,0.5815,0.7705,0.7253
RandomForestRegressor,0.0576,0.1824,0.2400,0.9101,0.9546,0.9477,0.2492,0.3709,0.4992,0.6000,0.7798,0.7392
GradientBoostingRegressor,0.0564,0.1816,0.2376,0.9119,0.9550,0.9493,0.2523,0.3738,0.5023,0.5951,0.7788,0.7369
AdaBoostRegressor,0.0659,0.1979,0.2566,0.8972,0.9474,0.9384,0.2588,0.3835,0.5087,0.5847,0.7701,0.7247
XGBRegressor,0.0660,0.1968,0.2569,0.8971,0.9472,0.9379,0.2532,0.3739,0.5032,0.5937,0.7780,0.7391
ExtraTreesRegressor,0.0560,0.1778,0.2367,0.9126,0.9557,0.9498,0.2495,0.3705,0.4995,0.5996,0.7801,0.7390
LinearRegression,2.2584,1.1398,1.5028,-2.5239,0.3998,0.4403,0.9470,0.7444,0.9731,-0.5198,0.4434,0.4216
KNeighborsRegressor,0.0799,0.2185,0.2826,0.8753,0.9362,0.9234,0.2401,0.3566,0.4900,0.6146,0.7925,0.7600
SVR,0.0527,0.1688,0.2296,0.9178,0.9584,0.9589,0.2514,0.3742,0.5014,0.5966,0.7760,0.7377
MLPRegressor,0.4249,0.4980,0.6518,0.3371,0.7127,0.7076,0.4259,0.5057,0.6526,0.3165,0.6207,0.5557
