,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1736,0.3195,0.4167,0.7291,0.8542,0.8438,0.1440,0.2911,0.3795,0.7689,0.8780,0.8595
DecisionTreeRegressor,0.2886,0.3922,0.5372,0.5497,0.7695,0.7548,0.1720,0.3143,0.4147,0.7240,0.8518,0.8392
RandomForestRegressor,0.1738,0.3177,0.4169,0.7288,0.8555,0.8457,0.1425,0.2913,0.3775,0.7713,0.8812,0.8641
GradientBoostingRegressor,0.1896,0.3387,0.4355,0.7041,0.8412,0.8327,0.1549,0.3084,0.3936,0.7514,0.8718,0.8502
AdaBoostRegressor,0.2815,0.4406,0.5306,0.5607,0.7614,0.7365,0.2430,0.4086,0.4929,0.6100,0.8021,0.7575
XGBRegressor,0.1843,0.3240,0.4293,0.7125,0.8446,0.8408,0.1339,0.2795,0.3660,0.7851,0.8867,0.8700
ExtraTreesRegressor,0.1908,0.3262,0.4368,0.7023,0.8386,0.8355,0.1531,0.2951,0.3912,0.7544,0.8686,0.8456
LinearRegression,2.0984,0.9848,1.4486,-2.2742,0.3179,0.4258,0.7950,0.6533,0.8916,-0.2758,0.5259,0.5745
KNeighborsRegressor,0.2502,0.3727,0.5002,0.6096,0.7854,0.7743,0.1844,0.3258,0.4294,0.7040,0.8414,0.8146
SVR,0.2247,0.3605,0.4740,0.6494,0.8076,0.7989,0.1989,0.3413,0.4460,0.6807,0.8289,0.8103
MLPRegressor,1.4528,0.8614,1.2053,-1.2670,0.4400,0.4910,0.9055,0.6704,0.9516,-0.4532,0.5181,0.5599
