,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1736,0.3195,0.4167,0.7291,0.8542,0.8438,0.1440,0.2911,0.3795,0.7689,0.8780,0.8595
DecisionTreeRegressor,0.3010,0.4031,0.5487,0.5303,0.7602,0.7514,0.1682,0.3113,0.4102,0.7300,0.8553,0.8409
RandomForestRegressor,0.1737,0.3176,0.4168,0.7290,0.8556,0.8456,0.1430,0.2919,0.3782,0.7705,0.8807,0.8634
GradientBoostingRegressor,0.1893,0.3384,0.4350,0.7047,0.8416,0.8330,0.1548,0.3083,0.3934,0.7516,0.8720,0.8501
AdaBoostRegressor,0.2778,0.4393,0.5270,0.5666,0.7626,0.7347,0.2417,0.4073,0.4916,0.6122,0.8003,0.7546
XGBRegressor,0.1843,0.3240,0.4293,0.7125,0.8446,0.8408,0.1339,0.2795,0.3660,0.7851,0.8867,0.8700
ExtraTreesRegressor,0.1909,0.3259,0.4369,0.7022,0.8386,0.8353,0.1544,0.2959,0.3929,0.7522,0.8674,0.8427
LinearRegression,2.0984,0.9848,1.4486,-2.2742,0.3179,0.4258,0.7950,0.6533,0.8916,-0.2758,0.5259,0.5745
KNeighborsRegressor,0.2502,0.3727,0.5002,0.6096,0.7854,0.7743,0.1844,0.3258,0.4294,0.7040,0.8414,0.8146
SVR,0.2247,0.3605,0.4740,0.6494,0.8076,0.7989,0.1990,0.3413,0.4460,0.6807,0.8289,0.8103
MLPRegressor,1.4736,0.8935,1.2139,-1.2994,0.4530,0.4963,0.6822,0.5770,0.8259,-0.0948,0.6025,0.6278
