,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2208,0.3652,0.4699,0.6555,0.8096,0.7915,0.1558,0.3124,0.3948,0.7499,0.8683,0.8477
DecisionTreeRegressor,0.4058,0.4652,0.6371,0.3667,0.6789,0.6518,0.1978,0.3414,0.4447,0.6826,0.8273,0.8002
RandomForestRegressor,0.2273,0.3687,0.4768,0.6453,0.8037,0.7806,0.1621,0.3156,0.4026,0.7398,0.8644,0.8452
GradientBoostingRegressor,0.2365,0.3830,0.4863,0.6310,0.7954,0.7755,0.1790,0.3363,0.4231,0.7128,0.8511,0.8196
AdaBoostRegressor,0.3320,0.4881,0.5762,0.4820,0.7022,0.6753,0.2870,0.4561,0.5357,0.5394,0.7551,0.7147
XGBRegressor,0.2343,0.3678,0.4841,0.6344,0.7996,0.7830,0.1555,0.2989,0.3943,0.7504,0.8664,0.8406
ExtraTreesRegressor,0.2170,0.3529,0.4658,0.6614,0.8134,0.7997,0.1468,0.2952,0.3832,0.7643,0.8753,0.8586
LinearRegression,0.3026,0.4202,0.5501,0.5279,0.7374,0.7401,0.3589,0.4361,0.5991,0.4240,0.6883,0.6844
KNeighborsRegressor,0.2935,0.4055,0.5418,0.5420,0.7454,0.7199,0.2122,0.3574,0.4606,0.6595,0.8139,0.7771
SVR,0.2895,0.4223,0.5380,0.5483,0.7434,0.7028,0.2529,0.3950,0.5029,0.5941,0.7765,0.7122
MLPRegressor,0.4340,0.4916,0.6588,0.3229,0.6433,0.6692,0.4266,0.4750,0.6532,0.3153,0.6653,0.6896
