,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4299,0.5513,0.6557,0.3291,0.5737,0.4597,0.3904,0.5127,0.6248,0.3735,0.6118,0.4998
DecisionTreeRegressor,0.4240,0.5405,0.6511,0.3385,0.5846,0.4711,0.3882,0.5109,0.6231,0.3769,0.6156,0.4933
RandomForestRegressor,0.4161,0.5352,0.6451,0.3507,0.5932,0.4789,0.3836,0.5076,0.6193,0.3845,0.6206,0.4974
GradientBoostingRegressor,0.4142,0.5377,0.6436,0.3536,0.5947,0.4793,0.3829,0.5099,0.6188,0.3855,0.6211,0.5067
AdaBoostRegressor,0.4462,0.5739,0.6680,0.3038,0.5531,0.4220,0.4188,0.5480,0.6471,0.3280,0.5776,0.4239
XGBRegressor,0.4171,0.5356,0.6459,0.3491,0.5925,0.4786,0.3880,0.5121,0.6229,0.3774,0.6164,0.5003
ExtraTreesRegressor,0.4225,0.5402,0.6500,0.3407,0.5862,0.4709,0.3884,0.5112,0.6232,0.3767,0.6153,0.4937
LinearRegression,0.4239,0.5443,0.6511,0.3385,0.5837,0.4716,0.4017,0.5268,0.6338,0.3553,0.6036,0.5059
KNeighborsRegressor,0.4937,0.5694,0.7027,0.2296,0.5368,0.4458,0.4289,0.5363,0.6549,0.3116,0.5904,0.5065
SVR,0.4244,0.5412,0.6514,0.3378,0.5824,0.4788,0.3956,0.5146,0.6289,0.3652,0.6048,0.4999
MLPRegressor,0.4789,0.5746,0.6921,0.2527,0.5359,0.4705,0.4645,0.5540,0.6815,0.2546,0.5514,0.4922
