,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1842,0.3286,0.4292,0.7126,0.8447,0.8360,0.1588,0.3042,0.3985,0.7451,0.8647,0.8498
DecisionTreeRegressor,0.3362,0.4220,0.5798,0.4754,0.7346,0.7150,0.1738,0.3203,0.4169,0.7210,0.8494,0.8300
RandomForestRegressor,0.1781,0.3161,0.4220,0.7221,0.8515,0.8442,0.1499,0.2953,0.3871,0.7595,0.8742,0.8579
GradientBoostingRegressor,0.2011,0.3453,0.4484,0.6863,0.8327,0.8234,0.1735,0.3264,0.4166,0.7215,0.8537,0.8341
AdaBoostRegressor,0.3153,0.4705,0.5615,0.5080,0.7275,0.7233,0.2855,0.4485,0.5343,0.5418,0.7568,0.7368
XGBRegressor,0.1956,0.3329,0.4422,0.6949,0.8346,0.8299,0.1442,0.2844,0.3797,0.7686,0.8779,0.8627
ExtraTreesRegressor,0.1843,0.3207,0.4293,0.7124,0.8443,0.8386,0.1549,0.2967,0.3935,0.7515,0.8675,0.8521
LinearRegression,0.2632,0.3879,0.5131,0.5893,0.7809,0.7840,0.2719,0.3856,0.5215,0.5636,0.7834,0.7709
KNeighborsRegressor,0.2515,0.3733,0.5015,0.6076,0.7815,0.7606,0.2044,0.3406,0.4521,0.6719,0.8227,0.8115
SVR,0.2336,0.3658,0.4833,0.6355,0.7985,0.7930,0.2061,0.3395,0.4540,0.6692,0.8209,0.8087
MLPRegressor,0.9159,0.6372,0.9570,-0.4292,0.5874,0.6657,0.8675,0.6059,0.9314,-0.3921,0.5658,0.6291
