,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4476,0.5414,0.6690,0.3016,0.5502,0.4638,0.4439,0.5454,0.6662,0.2876,0.5403,0.5191
DecisionTreeRegressor,0.4378,0.5347,0.6617,0.3169,0.5683,0.4854,0.3860,0.5048,0.6213,0.3806,0.6174,0.5535
RandomForestRegressor,0.4316,0.5316,0.6570,0.3265,0.5739,0.4867,0.3933,0.5136,0.6271,0.3689,0.6076,0.5376
GradientBoostingRegressor,0.4308,0.5369,0.6564,0.3278,0.5734,0.4897,0.4241,0.5435,0.6513,0.3193,0.5653,0.5228
AdaBoostRegressor,0.4903,0.5916,0.7002,0.2349,0.4869,0.4457,0.4979,0.5974,0.7056,0.2010,0.4575,0.4837
XGBRegressor,0.4325,0.5325,0.6576,0.3252,0.5744,0.4891,0.3941,0.5122,0.6278,0.3675,0.6073,0.5482
ExtraTreesRegressor,0.4378,0.5348,0.6617,0.3169,0.5683,0.4852,0.3855,0.5041,0.6209,0.3813,0.6179,0.5546
LinearRegression,0.5058,0.5933,0.7112,0.2107,0.4598,0.3893,0.5297,0.6156,0.7278,0.1499,0.3996,0.3390
KNeighborsRegressor,0.5300,0.5828,0.7280,0.1731,0.4705,0.4072,0.4842,0.5699,0.6958,0.2230,0.5071,0.4681
SVR,0.4472,0.5163,0.6687,0.3023,0.5549,0.5014,0.4005,0.5075,0.6329,0.3573,0.5991,0.5411
MLPRegressor,0.4690,0.5504,0.6848,0.2682,0.5312,0.4972,0.4578,0.5431,0.6766,0.2653,0.5312,0.5234
