,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2799,0.4089,0.5290,0.5633,0.7507,0.7333,0.2578,0.4093,0.5077,0.5863,0.7684,0.7312
DecisionTreeRegressor,0.3996,0.4583,0.6321,0.3765,0.6719,0.6631,0.3088,0.4139,0.5557,0.5044,0.7228,0.6802
RandomForestRegressor,0.2845,0.3981,0.5334,0.5561,0.7479,0.7312,0.2567,0.3956,0.5067,0.5880,0.7677,0.7295
GradientBoostingRegressor,0.3039,0.4374,0.5512,0.5258,0.7267,0.7035,0.2717,0.4265,0.5213,0.5639,0.7550,0.7070
AdaBoostRegressor,0.4098,0.5505,0.6402,0.3605,0.6107,0.5789,0.3924,0.5380,0.6264,0.3703,0.6225,0.5823
XGBRegressor,0.2829,0.3950,0.5319,0.5586,0.7555,0.7483,0.2542,0.3866,0.5042,0.5921,0.7713,0.7392
ExtraTreesRegressor,0.3877,0.4532,0.6226,0.3951,0.6770,0.6661,0.3018,0.4109,0.5493,0.5157,0.7270,0.6845
LinearRegression,0.5572,0.5240,0.7465,0.1305,0.5784,0.6453,0.3648,0.4749,0.6040,0.4145,0.6741,0.6489
KNeighborsRegressor,0.3454,0.4408,0.5877,0.4611,0.7013,0.6822,0.3251,0.4363,0.5702,0.4783,0.7134,0.6644
SVR,0.3061,0.4279,0.5532,0.5224,0.7231,0.7022,0.2840,0.4252,0.5329,0.5443,0.7391,0.6967
MLPRegressor,0.6932,0.5839,0.8326,-0.0816,0.5314,0.6023,0.6484,0.5623,0.8052,-0.0406,0.5264,0.5778
