,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2896,0.4202,0.5382,0.5481,0.7404,0.7265,0.2799,0.4220,0.5291,0.5508,0.7426,0.6973
DecisionTreeRegressor,0.4330,0.4836,0.6580,0.3243,0.6396,0.6284,0.3233,0.4299,0.5686,0.4812,0.7072,0.6607
RandomForestRegressor,0.3128,0.4227,0.5593,0.5119,0.7188,0.7041,0.2882,0.4172,0.5369,0.5374,0.7343,0.6872
GradientBoostingRegressor,0.3161,0.4459,0.5623,0.5067,0.7123,0.6912,0.2995,0.4466,0.5472,0.5194,0.7219,0.6654
AdaBoostRegressor,0.3993,0.5428,0.6319,0.3770,0.6251,0.6039,0.3972,0.5466,0.6303,0.3625,0.6115,0.5486
XGBRegressor,0.3218,0.4186,0.5672,0.4979,0.7186,0.7199,0.2648,0.3946,0.5146,0.5750,0.7621,0.7177
ExtraTreesRegressor,0.4191,0.4749,0.6474,0.3460,0.6491,0.6375,0.3056,0.4198,0.5528,0.5095,0.7223,0.6790
LinearRegression,0.5853,0.5304,0.7650,0.0867,0.5568,0.6355,0.4101,0.4996,0.6404,0.3418,0.6557,0.6409
KNeighborsRegressor,0.3932,0.4578,0.6271,0.3864,0.6716,0.6605,0.3877,0.4687,0.6226,0.3778,0.6636,0.6214
SVR,0.3059,0.4282,0.5530,0.5227,0.7236,0.7056,0.2976,0.4349,0.5455,0.5224,0.7242,0.6700
MLPRegressor,0.6422,0.5712,0.8014,-0.0021,0.5500,0.6168,0.5506,0.5246,0.7420,0.1164,0.5776,0.6176
