,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3409,0.4644,0.5838,0.4681,0.6848,0.6573,0.3086,0.4482,0.5555,0.5047,0.7107,0.6608
DecisionTreeRegressor,0.4517,0.5019,0.6721,0.2952,0.6176,0.6008,0.3111,0.4271,0.5578,0.5007,0.7163,0.6580
RandomForestRegressor,0.3443,0.4521,0.5868,0.4627,0.6861,0.6544,0.2891,0.4177,0.5377,0.5360,0.7328,0.6817
GradientBoostingRegressor,0.3457,0.4709,0.5880,0.4606,0.6788,0.6467,0.3155,0.4692,0.5617,0.4937,0.7041,0.6448
AdaBoostRegressor,0.4213,0.5570,0.6491,0.3426,0.5911,0.5429,0.4009,0.5503,0.6332,0.3566,0.6091,0.5651
XGBRegressor,0.3603,0.4618,0.6003,0.4378,0.6799,0.6564,0.2909,0.4182,0.5393,0.5332,0.7352,0.6857
ExtraTreesRegressor,0.4278,0.4909,0.6541,0.3324,0.6320,0.6141,0.3113,0.4272,0.5580,0.5004,0.7155,0.6593
LinearRegression,0.4325,0.5066,0.6576,0.3252,0.6107,0.6269,0.3735,0.4800,0.6111,0.4006,0.6643,0.6539
KNeighborsRegressor,0.4203,0.4884,0.6483,0.3442,0.6325,0.6038,0.4087,0.4842,0.6393,0.3441,0.6397,0.5990
SVR,0.3524,0.4629,0.5937,0.4501,0.6731,0.6387,0.3344,0.4617,0.5783,0.4633,0.6830,0.6163
MLPRegressor,0.5822,0.5680,0.7630,0.0916,0.5435,0.5943,0.5410,0.5422,0.7355,0.1319,0.5647,0.5973
