,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2008,0.3440,0.4481,0.6866,0.8287,0.8134,0.1896,0.3273,0.4354,0.6958,0.8342,0.8071
DecisionTreeRegressor,0.3383,0.4271,0.5817,0.4721,0.7311,0.7074,0.2057,0.3411,0.4535,0.6699,0.8226,0.7983
RandomForestRegressor,0.1960,0.3395,0.4427,0.6942,0.8341,0.8218,0.1767,0.3184,0.4204,0.7164,0.8469,0.8232
GradientBoostingRegressor,0.2128,0.3650,0.4613,0.6680,0.8196,0.8045,0.1955,0.3416,0.4421,0.6863,0.8305,0.7986
AdaBoostRegressor,0.3143,0.4743,0.5606,0.5096,0.7247,0.6749,0.2862,0.4505,0.5350,0.5406,0.7510,0.6880
XGBRegressor,0.2044,0.3420,0.4521,0.6810,0.8269,0.8185,0.1650,0.3084,0.4062,0.7352,0.8578,0.8351
ExtraTreesRegressor,0.2025,0.3381,0.4500,0.6840,0.8277,0.8225,0.1650,0.3018,0.4062,0.7352,0.8576,0.8360
LinearRegression,0.3036,0.4070,0.5510,0.5263,0.7559,0.7879,0.3104,0.4024,0.5572,0.5018,0.7454,0.7359
KNeighborsRegressor,0.2408,0.3643,0.4907,0.6243,0.7934,0.7815,0.2015,0.3341,0.4489,0.6766,0.8247,0.7922
SVR,0.2269,0.3618,0.4763,0.6460,0.8045,0.7912,0.2009,0.3333,0.4482,0.6776,0.8239,0.7925
MLPRegressor,0.6042,0.5345,0.7773,0.0572,0.6301,0.6982,0.5216,0.4953,0.7222,0.1630,0.6855,0.7225
