,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2455,0.3892,0.4954,0.6170,0.7858,0.7700,0.2372,0.3729,0.4871,0.6193,0.7873,0.7338
DecisionTreeRegressor,0.3988,0.4656,0.6315,0.3777,0.6825,0.6666,0.2217,0.3441,0.4708,0.6442,0.8084,0.7825
RandomForestRegressor,0.2405,0.3779,0.4904,0.6247,0.7905,0.7791,0.1949,0.3439,0.4415,0.6872,0.8301,0.7908
GradientBoostingRegressor,0.2622,0.4093,0.5121,0.5909,0.7707,0.7575,0.2411,0.3908,0.4910,0.6131,0.7850,0.7333
AdaBoostRegressor,0.3724,0.5277,0.6103,0.4189,0.6616,0.6192,0.3591,0.5140,0.5992,0.4237,0.6665,0.5752
XGBRegressor,0.2437,0.3778,0.4937,0.6197,0.7908,0.7779,0.1868,0.3310,0.4322,0.7002,0.8370,0.7945
ExtraTreesRegressor,0.3656,0.4487,0.6047,0.4295,0.7019,0.6820,0.2186,0.3440,0.4676,0.6491,0.8103,0.7848
LinearRegression,0.4310,0.4773,0.6565,0.3275,0.6514,0.6951,0.3243,0.4182,0.5695,0.4795,0.7238,0.7126
KNeighborsRegressor,0.2813,0.3956,0.5304,0.5611,0.7549,0.7409,0.2468,0.3757,0.4968,0.6039,0.7824,0.7478
SVR,0.2649,0.4000,0.5147,0.5866,0.7668,0.7606,0.2565,0.3856,0.5065,0.5883,0.7691,0.7470
MLPRegressor,0.5921,0.5270,0.7695,0.0762,0.6149,0.6760,0.6762,0.5547,0.8223,-0.0852,0.5845,0.6447
