,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3255,0.4516,0.5705,0.4921,0.7030,0.6688,0.2768,0.4265,0.5261,0.5557,0.7456,0.6987
DecisionTreeRegressor,0.3606,0.4641,0.6005,0.4373,0.6827,0.6567,0.2604,0.3908,0.5103,0.5821,0.7695,0.7298
RandomForestRegressor,0.3100,0.4365,0.5568,0.5163,0.7215,0.6880,0.2559,0.3948,0.5058,0.5894,0.7704,0.7255
GradientBoostingRegressor,0.3263,0.4648,0.5712,0.4908,0.7011,0.6665,0.2837,0.4453,0.5326,0.5448,0.7410,0.6945
AdaBoostRegressor,0.4005,0.5420,0.6328,0.3751,0.6161,0.5606,0.3737,0.5297,0.6113,0.4003,0.6418,0.5870
XGBRegressor,0.3171,0.4368,0.5632,0.5051,0.7181,0.6922,0.2581,0.4049,0.5080,0.5859,0.7683,0.7258
ExtraTreesRegressor,0.3461,0.4552,0.5883,0.4600,0.6947,0.6664,0.2605,0.3937,0.5104,0.5820,0.7686,0.7256
LinearRegression,0.3423,0.4786,0.5851,0.4659,0.6858,0.6505,0.3436,0.4600,0.5862,0.4486,0.6823,0.6661
KNeighborsRegressor,0.3754,0.4659,0.6127,0.4142,0.6775,0.6420,0.3802,0.4675,0.6166,0.3899,0.6736,0.6117
SVR,0.3106,0.4344,0.5573,0.5153,0.7191,0.6891,0.2516,0.3992,0.5016,0.5962,0.7727,0.7230
MLPRegressor,0.4752,0.5147,0.6894,0.2585,0.6023,0.6387,0.5530,0.5454,0.7436,0.1126,0.5520,0.6040
