,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2213,0.3647,0.4704,0.6547,0.8095,0.8042,0.1953,0.3443,0.4420,0.6865,0.8306,0.8043
DecisionTreeRegressor,0.4118,0.4650,0.6417,0.3575,0.6733,0.6648,0.1980,0.3409,0.4450,0.6822,0.8271,0.7950
RandomForestRegressor,0.2131,0.3509,0.4616,0.6675,0.8177,0.8141,0.1724,0.3171,0.4152,0.7234,0.8544,0.8280
GradientBoostingRegressor,0.2361,0.3824,0.4859,0.6316,0.7981,0.7935,0.2188,0.3745,0.4678,0.6488,0.8100,0.7639
AdaBoostRegressor,0.3573,0.5135,0.5978,0.4425,0.6833,0.6458,0.3354,0.4984,0.5791,0.4617,0.7041,0.6450
XGBRegressor,0.2391,0.3698,0.4890,0.6269,0.7968,0.8000,0.1845,0.3229,0.4295,0.7039,0.8403,0.8077
ExtraTreesRegressor,0.3685,0.4390,0.6071,0.4250,0.7010,0.6895,0.1926,0.3328,0.4389,0.6909,0.8318,0.8033
LinearRegression,0.3753,0.4457,0.6126,0.4143,0.7155,0.7406,0.3395,0.4381,0.5826,0.4552,0.7317,0.7261
KNeighborsRegressor,0.2956,0.4110,0.5437,0.5387,0.7453,0.7289,0.2211,0.3555,0.4702,0.6452,0.8072,0.7871
SVR,0.2498,0.3796,0.4998,0.6102,0.7828,0.7834,0.2330,0.3649,0.4827,0.6260,0.7956,0.7837
MLPRegressor,0.9159,0.6412,0.9570,-0.4292,0.5707,0.6438,0.9053,0.6261,0.9515,-0.4529,0.5439,0.6142
