,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3280,0.4529,0.5727,0.4881,0.6990,0.6468,0.2996,0.4352,0.5473,0.5192,0.7206,0.6771
DecisionTreeRegressor,0.3398,0.4490,0.5829,0.4698,0.6999,0.6612,0.3063,0.4286,0.5534,0.5085,0.7192,0.6830
RandomForestRegressor,0.3111,0.4322,0.5577,0.5146,0.7202,0.6739,0.2937,0.4216,0.5419,0.5287,0.7282,0.6867
GradientBoostingRegressor,0.3249,0.4573,0.5700,0.4931,0.7030,0.6644,0.3051,0.4465,0.5523,0.5104,0.7152,0.6682
AdaBoostRegressor,0.4117,0.5473,0.6416,0.3576,0.6018,0.5445,0.3887,0.5373,0.6234,0.3763,0.6213,0.5595
XGBRegressor,0.3222,0.4411,0.5676,0.4972,0.7128,0.6729,0.2999,0.4261,0.5477,0.5186,0.7249,0.6878
ExtraTreesRegressor,0.3267,0.4428,0.5716,0.4902,0.7113,0.6718,0.3034,0.4238,0.5508,0.5131,0.7217,0.6845
LinearRegression,0.3580,0.4831,0.5983,0.4414,0.6728,0.6479,0.3832,0.4869,0.6190,0.3851,0.6435,0.6259
KNeighborsRegressor,0.3999,0.4794,0.6324,0.3760,0.6574,0.6081,0.4103,0.4774,0.6406,0.3415,0.6429,0.5914
SVR,0.3290,0.4501,0.5736,0.4867,0.6978,0.6630,0.2874,0.4220,0.5361,0.5387,0.7341,0.6754
MLPRegressor,0.5260,0.5237,0.7253,0.1792,0.5838,0.6128,0.4760,0.5059,0.6899,0.2361,0.6114,0.6136
