,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2221,0.3631,0.4712,0.6535,0.8085,0.7935,0.1806,0.3252,0.4250,0.7102,0.8437,0.8254
DecisionTreeRegressor,0.3528,0.4380,0.5940,0.4495,0.7207,0.7051,0.2095,0.3432,0.4577,0.6637,0.8200,0.7976
RandomForestRegressor,0.2165,0.3549,0.4653,0.6622,0.8140,0.7982,0.1605,0.3059,0.4006,0.7425,0.8631,0.8488
GradientBoostingRegressor,0.2336,0.3833,0.4833,0.6355,0.7994,0.7855,0.2050,0.3594,0.4527,0.6710,0.8241,0.7883
AdaBoostRegressor,0.3452,0.4997,0.5875,0.4614,0.6877,0.6599,0.3224,0.4790,0.5678,0.4827,0.7090,0.6595
XGBRegressor,0.2148,0.3498,0.4635,0.6648,0.8192,0.7984,0.1588,0.2984,0.3985,0.7451,0.8638,0.8499
ExtraTreesRegressor,0.2168,0.3464,0.4656,0.6617,0.8164,0.7980,0.1696,0.3089,0.4118,0.7278,0.8541,0.8386
LinearRegression,0.2840,0.4323,0.5330,0.5568,0.7471,0.7299,0.3151,0.4490,0.5614,0.4942,0.7072,0.6606
KNeighborsRegressor,0.2623,0.3877,0.5122,0.5906,0.7752,0.7464,0.2159,0.3449,0.4646,0.6535,0.8125,0.8002
SVR,0.2912,0.4241,0.5397,0.5456,0.7402,0.7215,0.2440,0.3858,0.4940,0.6084,0.7872,0.7589
MLPRegressor,0.4017,0.4781,0.6338,0.3732,0.6544,0.6930,0.3532,0.4557,0.5943,0.4332,0.6839,0.7215
