,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3939,0.5069,0.6276,0.3854,0.6211,0.5658,0.3767,0.5093,0.6138,0.3954,0.6288,0.5676
DecisionTreeRegressor,0.3735,0.4890,0.6111,0.4172,0.6500,0.5899,0.3685,0.4909,0.6070,0.4086,0.6435,0.6022
RandomForestRegressor,0.3670,0.4838,0.6058,0.4274,0.6555,0.5949,0.3623,0.4863,0.6020,0.4185,0.6488,0.6057
GradientBoostingRegressor,0.3839,0.5055,0.6196,0.4009,0.6340,0.5761,0.3896,0.5202,0.6242,0.3747,0.6126,0.5798
AdaBoostRegressor,0.4585,0.5774,0.6772,0.2845,0.5357,0.5173,0.4426,0.5719,0.6652,0.2898,0.5414,0.5423
XGBRegressor,0.3654,0.4846,0.6045,0.4298,0.6582,0.6019,0.3652,0.4913,0.6043,0.4139,0.6466,0.6038
ExtraTreesRegressor,0.3714,0.4870,0.6094,0.4205,0.6521,0.5920,0.3676,0.4914,0.6063,0.4100,0.6444,0.6052
LinearRegression,0.4327,0.5457,0.6578,0.3249,0.5724,0.5345,0.4849,0.5785,0.6964,0.2218,0.4902,0.4976
KNeighborsRegressor,0.4135,0.5162,0.6430,0.3548,0.6046,0.5823,0.3814,0.5100,0.6176,0.3879,0.6309,0.5979
SVR,0.3816,0.4801,0.6177,0.4046,0.6386,0.5808,0.3653,0.4877,0.6044,0.4138,0.6442,0.5946
MLPRegressor,0.4337,0.5172,0.6586,0.3232,0.5916,0.5817,0.4543,0.5305,0.6740,0.2709,0.5589,0.5724
