,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3684,0.4613,0.6069,0.4252,0.6711,0.6419,0.3249,0.4217,0.5700,0.4786,0.7055,0.6407
LGBMRegressor,0.3596,0.4683,0.5997,0.4389,0.6637,0.6254,0.3167,0.4371,0.5628,0.4917,0.7018,0.6319
XGBRegressor,0.3966,0.4736,0.6298,0.3811,0.6475,0.6216,0.3307,0.4346,0.5751,0.4693,0.7001,0.6374
DecisionTreeRegressor,0.4159,0.4825,0.6449,0.3511,0.6394,0.6127,0.3466,0.4371,0.5888,0.4437,0.6882,0.6178
RandomForestRegressor,0.3506,0.4539,0.5921,0.4529,0.6804,0.6442,0.3154,0.4219,0.5616,0.4939,0.7081,0.6407
GradientBoostingRegressor,0.3512,0.4701,0.5926,0.4520,0.6723,0.6302,0.3190,0.4523,0.5648,0.4880,0.6988,0.6361
AdaBoostRegressor,0.4681,0.5881,0.6842,0.2696,0.5325,0.4868,0.4310,0.5569,0.6565,0.3083,0.5666,0.5153
SVR,0.4115,0.5080,0.6415,0.3580,0.6038,0.5622,0.4061,0.4936,0.6373,0.3482,0.5985,0.5364
LinearRegression,0.5539,0.6214,0.7442,0.1357,0.3685,0.3328,0.5990,0.6364,0.7739,0.0387,0.2447,0.1935
KNeighborsRegressor,0.4567,0.5161,0.6758,0.2874,0.5998,0.5639,0.4156,0.4823,0.6446,0.3331,0.6184,0.5570
MLPRegressor,0.6172,0.6386,0.7856,0.0370,0.3147,0.2678,0.5915,0.6213,0.7691,0.0507,0.3277,0.2517
