,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2752,0.3941,0.5246,0.5706,0.7619,0.7435,0.2288,0.3523,0.4783,0.6328,0.7973,0.7570
LGBMRegressor,0.2869,0.4159,0.5356,0.5524,0.7435,0.7197,0.2600,0.3932,0.5099,0.5827,0.7634,0.7205
XGBRegressor,0.2847,0.4014,0.5336,0.5557,0.7574,0.7408,0.2487,0.3777,0.4987,0.6008,0.7801,0.7388
DecisionTreeRegressor,0.3455,0.4360,0.5878,0.4609,0.7210,0.7011,0.2547,0.3689,0.5047,0.5913,0.7772,0.7307
RandomForestRegressor,0.2625,0.3887,0.5123,0.5905,0.7702,0.7496,0.2341,0.3616,0.4838,0.6244,0.7905,0.7459
GradientBoostingRegressor,0.2911,0.4248,0.5395,0.5458,0.7395,0.7237,0.2487,0.4021,0.4987,0.6009,0.7797,0.7452
AdaBoostRegressor,0.4126,0.5483,0.6424,0.3562,0.6012,0.5924,0.3823,0.5285,0.6183,0.3864,0.6305,0.6139
SVR,0.3222,0.4423,0.5676,0.4973,0.7060,0.6890,0.2944,0.4227,0.5426,0.5275,0.7270,0.7024
LinearRegression,0.4554,0.5582,0.6748,0.2894,0.5387,0.5091,0.4660,0.5732,0.6826,0.2522,0.5029,0.4412
KNeighborsRegressor,0.3578,0.4537,0.5982,0.4416,0.6831,0.6659,0.3140,0.4216,0.5604,0.4961,0.7125,0.6854
MLPRegressor,0.6522,0.6306,0.8076,-0.0176,0.4539,0.4544,0.7136,0.6484,0.8447,-0.1452,0.4179,0.4114
