,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2784,0.3934,0.5277,0.5656,0.7590,0.7418,0.2292,0.3528,0.4787,0.6322,0.7967,0.7556
LGBMRegressor,0.2869,0.4159,0.5356,0.5524,0.7435,0.7197,0.2600,0.3932,0.5099,0.5827,0.7634,0.7205
XGBRegressor,0.2847,0.4014,0.5336,0.5557,0.7574,0.7408,0.2487,0.3777,0.4987,0.6008,0.7801,0.7388
DecisionTreeRegressor,0.3558,0.4396,0.5965,0.4448,0.7112,0.6923,0.2587,0.3707,0.5086,0.5849,0.7746,0.7275
RandomForestRegressor,0.2631,0.3892,0.5129,0.5895,0.7696,0.7480,0.2342,0.3615,0.4839,0.6242,0.7905,0.7458
GradientBoostingRegressor,0.2908,0.4246,0.5393,0.5462,0.7398,0.7240,0.2490,0.4024,0.4990,0.6005,0.7794,0.7448
AdaBoostRegressor,0.4035,0.5447,0.6352,0.3704,0.6134,0.6025,0.3800,0.5266,0.6164,0.3902,0.6331,0.6163
SVR,0.3222,0.4423,0.5676,0.4973,0.7060,0.6890,0.2944,0.4227,0.5426,0.5275,0.7270,0.7024
LinearRegression,0.4554,0.5582,0.6748,0.2894,0.5387,0.5091,0.4660,0.5732,0.6826,0.2522,0.5029,0.4412
KNeighborsRegressor,0.3580,0.4540,0.5983,0.4414,0.6830,0.6659,0.3157,0.4226,0.5618,0.4934,0.7110,0.6834
MLPRegressor,0.5911,0.5977,0.7688,0.0777,0.4919,0.4812,0.6062,0.6046,0.7786,0.0272,0.4749,0.4583
