,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4380,0.5056,0.6618,0.3166,0.5916,0.5396,0.3693,0.4654,0.6077,0.4074,0.6496,0.5792
LGBMRegressor,0.4127,0.5048,0.6424,0.3560,0.5986,0.5335,0.3751,0.4784,0.6125,0.3980,0.6315,0.5515
XGBRegressor,0.4625,0.5177,0.6801,0.2784,0.5766,0.5333,0.3778,0.4758,0.6147,0.3937,0.6458,0.5839
DecisionTreeRegressor,0.5083,0.5281,0.7129,0.2069,0.5530,0.5160,0.3957,0.4784,0.6290,0.3650,0.6273,0.5607
RandomForestRegressor,0.4150,0.4947,0.6442,0.3525,0.6076,0.5523,0.3703,0.4684,0.6085,0.4057,0.6446,0.5745
GradientBoostingRegressor,0.4080,0.5070,0.6388,0.3633,0.6031,0.5417,0.3884,0.4891,0.6232,0.3767,0.6147,0.5521
AdaBoostRegressor,0.4589,0.5731,0.6774,0.2840,0.5378,0.4661,0.4545,0.5630,0.6742,0.2705,0.5259,0.4424
SVR,0.4481,0.5193,0.6694,0.3008,0.5569,0.4907,0.4381,0.5074,0.6619,0.2970,0.5551,0.4748
LinearRegression,0.5741,0.6326,0.7577,0.1042,0.3230,0.2424,0.5699,0.6275,0.7549,0.0853,0.2951,0.2154
KNeighborsRegressor,0.5624,0.5688,0.7499,0.1224,0.4694,0.3909,0.4204,0.4832,0.6483,0.3254,0.5946,0.5539
MLPRegressor,0.6494,0.6493,0.8058,-0.0133,0.2351,0.1549,0.5832,0.6125,0.7636,0.0641,0.2896,0.2007
