,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2350,0.3527,0.4847,0.6334,0.7999,0.7941,0.1890,0.3219,0.4348,0.6966,0.8350,0.8120
LGBMRegressor,0.2719,0.3999,0.5214,0.5758,0.7590,0.7382,0.2190,0.3565,0.4679,0.6486,0.8057,0.7915
XGBRegressor,0.2337,0.3593,0.4834,0.6353,0.8003,0.7911,0.1807,0.3204,0.4251,0.7100,0.8426,0.8256
DecisionTreeRegressor,0.3493,0.4335,0.5911,0.4549,0.7245,0.7046,0.2236,0.3505,0.4729,0.6411,0.8035,0.7795
RandomForestRegressor,0.2264,0.3565,0.4758,0.6468,0.8046,0.7957,0.1826,0.3175,0.4274,0.7069,0.8420,0.8263
GradientBoostingRegressor,0.2424,0.3804,0.4924,0.6217,0.7931,0.7731,0.2218,0.3627,0.4709,0.6441,0.8120,0.7772
AdaBoostRegressor,0.3928,0.5326,0.6268,0.3870,0.6392,0.6328,0.3854,0.5308,0.6208,0.3816,0.6422,0.6026
SVR,0.2792,0.3998,0.5284,0.5644,0.7521,0.7359,0.2696,0.3831,0.5192,0.5673,0.7542,0.7422
LinearRegression,0.3454,0.4310,0.5877,0.4611,0.7036,0.7233,0.3098,0.4103,0.5566,0.5028,0.7361,0.7405
KNeighborsRegressor,0.4156,0.4655,0.6447,0.3515,0.6240,0.6130,0.3688,0.4465,0.6073,0.4082,0.6560,0.6365
MLPRegressor,1.0020,0.6806,1.0010,-0.5634,0.5696,0.6436,0.7806,0.6149,0.8835,-0.2528,0.5845,0.6463
