,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2314,0.3504,0.4810,0.6390,0.8032,0.7958,0.1902,0.3235,0.4361,0.6947,0.8338,0.8091
LGBMRegressor,0.2719,0.3999,0.5214,0.5758,0.7590,0.7382,0.2190,0.3565,0.4679,0.6486,0.8057,0.7915
XGBRegressor,0.2337,0.3593,0.4834,0.6353,0.8003,0.7911,0.1807,0.3204,0.4251,0.7100,0.8426,0.8256
DecisionTreeRegressor,0.3495,0.4331,0.5912,0.4546,0.7224,0.7043,0.2174,0.3535,0.4662,0.6511,0.8089,0.7824
RandomForestRegressor,0.2269,0.3571,0.4764,0.6459,0.8042,0.7955,0.1824,0.3167,0.4270,0.7073,0.8422,0.8275
GradientBoostingRegressor,0.2416,0.3793,0.4916,0.6230,0.7940,0.7745,0.2202,0.3614,0.4692,0.6466,0.8137,0.7798
AdaBoostRegressor,0.3893,0.5300,0.6239,0.3926,0.6445,0.6209,0.3745,0.5223,0.6119,0.3990,0.6635,0.6110
SVR,0.2792,0.3998,0.5284,0.5644,0.7521,0.7359,0.2696,0.3831,0.5192,0.5674,0.7542,0.7422
LinearRegression,0.3454,0.4310,0.5877,0.4611,0.7036,0.7233,0.3098,0.4103,0.5566,0.5028,0.7361,0.7405
KNeighborsRegressor,0.4156,0.4655,0.6447,0.3515,0.6240,0.6130,0.3688,0.4465,0.6073,0.4082,0.6560,0.6365
MLPRegressor,0.9707,0.6693,0.9852,-0.5146,0.5775,0.6479,0.6351,0.5731,0.7969,-0.0192,0.6272,0.6744
