,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.13559214493656382,0.27578285035918276,0.36822838692388155,0.7884288422624927,0.888066691532194,0.8805486575367881,0.14757064389038196,0.2902857333086733,0.3841492468955028,0.7631706725931604,0.8739502216470689,0.8516354987330491
DecisionTreeRegressor,0.27149797307136153,0.39419336258291954,0.5210546737832428,0.5763682290521466,0.789845698604125,0.7791829069338596,0.16093745481313304,0.30641229693888894,0.4011701070781982,0.7417188935878385,0.8613757842504507,0.8399709052949682
RandomForestRegressor,0.12978021748673174,0.27202654701344586,0.3602502151099035,0.7974974813036602,0.8930340207436325,0.8837955562051599,0.1354655725953132,0.2768018367892224,0.3680564801702494,0.7825975438017221,0.8847718530059578,0.8570657776761974
GradientBoostingRegressor,0.13625811071767285,0.2811834054649219,0.36913156288466153,0.7873897027799752,0.887447139543339,0.8789665529936233,0.14513561093803704,0.28652958293713043,0.3809666795640231,0.7670785447899214,0.8759098204302569,0.8518623540541791
AdaBoostRegressor,0.14342806251938311,0.2915822775364686,0.3787189756526376,0.7762020708982047,0.8810875971234514,0.8730151575537893,0.1586003376240079,0.30342758936977027,0.39824657892316906,0.7454696252874482,0.8634496897772541,0.8458906220801025
XGBRegressor,0.1462342732905402,0.2900643020672866,0.38240590122347773,0.771823400865461,0.8789333835684346,0.8667211095264342,0.14198149722614214,0.28362760896904937,0.37680432219673665,0.7721404365677171,0.8788627304074677,0.8433667160197287
ExtraTreesRegressor,0.12714450251123352,0.26915650779572975,0.35657327789843357,0.8016101182790036,0.895382944253854,0.8867171741371876,0.14052234835397007,0.2794536275125953,0.3748631061520593,0.7744821573657891,0.8801015865525872,0.8487332504924768
LinearRegression,0.14010264954648513,0.28971686431391036,0.37430288476912,0.7813908779117711,0.8841313095297515,0.8779916670688189,0.14706785057189659,0.28959536142994363,0.3834942640664872,0.7639775824249695,0.874092454138831,0.8477305874698295
KNeighborsRegressor,0.14544846864079947,0.2864820163056604,0.3813770688449942,0.7730495308863331,0.8797643846398874,0.8670344228824622,0.1495095960668037,0.29069343792873015,0.38666470755268534,0.7600589375779152,0.8721432162883894,0.8480880904606893
SVR,0.1339118764479255,0.2772603124111665,0.3659397169588531,0.791050648633484,0.8894364675822812,0.8780232102639159,0.14895869169311693,0.2818405963809773,0.3859516701519983,0.7609430586256124,0.8736317034768155,0.8482071711279391
MLPRegressor,0.188532645048937,0.34160027051695785,0.43420346042948227,0.7058231507217503,0.8427791344505262,0.8373097655007246,0.16985509870180937,0.32849030946937546,0.41213480646726425,0.727407377770521,0.8585533030928856,0.8365918037186098
