,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1493,0.2904,0.3864,0.7670,0.8758,0.8698,0.1855,0.3198,0.4307,0.7023,0.8382,0.7966
DecisionTreeRegressor,0.3054,0.4175,0.5526,0.5235,0.7616,0.7475,0.2162,0.3495,0.4650,0.6530,0.8129,0.7734
RandomForestRegressor,0.1492,0.2936,0.3862,0.7672,0.8768,0.8679,0.1856,0.3249,0.4308,0.7022,0.8384,0.7948
GradientBoostingRegressor,0.1510,0.2936,0.3886,0.7644,0.8743,0.8652,0.1911,0.3273,0.4371,0.6933,0.8330,0.7925
AdaBoostRegressor,0.1609,0.3180,0.4012,0.7489,0.8683,0.8586,0.2151,0.3643,0.4638,0.6547,0.8116,0.7624
XGBRegressor,0.1689,0.3146,0.4110,0.7364,0.8587,0.8520,0.1832,0.3164,0.4280,0.7060,0.8403,0.8024
ExtraTreesRegressor,0.1439,0.2873,0.3793,0.7755,0.8818,0.8757,0.1739,0.3149,0.4170,0.7209,0.8497,0.8136
LinearRegression,1.3241,0.8678,1.1507,-1.0661,0.4775,0.4951,0.6144,0.6193,0.7838,0.0140,0.6071,0.5999
KNeighborsRegressor,0.1901,0.3255,0.4360,0.7035,0.8409,0.8258,0.1761,0.3183,0.4197,0.7173,0.8482,0.8142
SVR,0.1458,0.2926,0.3818,0.7725,0.8796,0.8791,0.1639,0.3096,0.4049,0.7369,0.8610,0.8411
MLPRegressor,0.7170,0.6202,0.8468,-0.1188,0.6494,0.6676,0.5059,0.5150,0.7113,0.1881,0.6882,0.6796
