,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1451,0.2876,0.3809,0.7736,0.8795,0.8718,0.1886,0.3217,0.4343,0.6973,0.8354,0.7928
DecisionTreeRegressor,0.2877,0.3929,0.5364,0.5511,0.7723,0.7614,0.2337,0.3685,0.4834,0.6249,0.7941,0.7607
RandomForestRegressor,0.1423,0.2869,0.3772,0.7780,0.8826,0.8731,0.1893,0.3273,0.4351,0.6962,0.8345,0.7911
GradientBoostingRegressor,0.1464,0.2883,0.3827,0.7715,0.8784,0.8682,0.1902,0.3253,0.4361,0.6948,0.8340,0.7905
AdaBoostRegressor,0.1581,0.3136,0.3977,0.7533,0.8704,0.8601,0.2189,0.3653,0.4679,0.6486,0.8067,0.7583
XGBRegressor,0.1645,0.3085,0.4056,0.7433,0.8627,0.8542,0.1970,0.3326,0.4439,0.6838,0.8270,0.7886
ExtraTreesRegressor,0.1417,0.2859,0.3765,0.7788,0.8832,0.8762,0.1822,0.3186,0.4269,0.7076,0.8414,0.8007
LinearRegression,0.1682,0.3232,0.4101,0.7376,0.8614,0.8590,0.2240,0.3680,0.4733,0.6405,0.8077,0.7803
KNeighborsRegressor,0.1815,0.3239,0.4260,0.7168,0.8487,0.8372,0.1943,0.3216,0.4408,0.6881,0.8324,0.7910
SVR,0.1419,0.2863,0.3766,0.7787,0.8825,0.8815,0.1734,0.3127,0.4164,0.7217,0.8504,0.8194
MLPRegressor,0.3659,0.4727,0.6049,0.4290,0.7653,0.7586,0.4926,0.5125,0.7019,0.2094,0.6806,0.6564
