,Feature,Importance
0,MaxAbsEStateIndex,8.62204352190086e-05
1,MaxEStateIndex,0.0003068677763610623
2,MinAbsEStateIndex,0.0002072906320932598
3,MinEStateIndex,7.158671627703815e-05
4,qed,0.0005086458530852358
5,SPS,0.00032102049847905614
6,MolWt,2.7284691423813655e-06
7,HeavyAtomMolWt,1.4745915043942099e-05
8,ExactMolWt,7.344289090948778e-06
9,NumValenceElectrons,7.656252307698386e-05
10,NumRadicalElectrons,0.0
11,MaxPartialCharge,0.0002104620602728171
12,MinPartialCharge,0.0005851714735816078
13,MaxAbsPartialCharge,0.0003442711288106734
14,MinAbsPartialCharge,0.0003356843183860408
15,FpDensityMorgan1,0.00013813550519270316
16,FpDensityMorgan2,8.222239037942415e-05
17,FpDensityMorgan3,0.0003313446069605248
18,BCUT2D_MWHI,2.1419245660536885e-05
19,BCUT2D_MWLOW,0.0004913395705032855
20,BCUT2D_CHGHI,0.0004066027472845697
21,BCUT2D_CHGLO,0.000482621011619399
22,BCUT2D_LOGPHI,0.00014332512079036241
23,BCUT2D_LOGPLOW,0.0003014033854978909
24,BCUT2D_MRHI,0.00026090049805755966
25,BCUT2D_MRLOW,0.00042786728243236153
26,AvgIpc,6.606533744638297e-05
27,BalabanJ_x,0.00015578819319014617
28,BertzCT_x,0.00012947862281449552
29,Chi0,4.380607294097394e-05
30,Chi0n,4.512420979910861e-06
31,Chi0v,1.2572517077333775e-05
32,Chi1,1.1664085027093002e-05
33,Chi1n,6.903239422578898e-06
34,Chi1v,5.138055736576982e-06
35,Chi2n,2.5418253747158644e-05
36,Chi2v,6.331881409455613e-06
37,Chi3n,3.19622334958985e-05
38,Chi3v,4.122638292724689e-05
39,Chi4n,6.310292240179446e-05
40,Chi4v,1.348461207438426e-05
41,HallKierAlpha,8.716696842194321e-05
42,Ipc,2.4564395204417003e-05
43,Kappa1,3.7671297236301055e-05
44,Kappa2,0.0001307390732520108
45,Kappa3,0.00036318624131382763
46,LabuteASA_x,2.9996156677019402e-06
47,PEOE_VSA1,3.0196025425152167e-05
48,PEOE_VSA10,0.00015787006147193887
49,PEOE_VSA11,6.409973671185302e-05
50,PEOE_VSA12,3.952877974685108e-06
51,PEOE_VSA13,4.850267646375526e-07
52,PEOE_VSA14,1.7431910346896803e-09
53,PEOE_VSA2,0.0008223161545594208
54,PEOE_VSA3,7.882694075772882e-05
55,PEOE_VSA4,9.918342918123867e-07
56,PEOE_VSA5,0.0
57,PEOE_VSA6,5.3127219621040736e-05
58,PEOE_VSA7,0.0007006446591783888
59,PEOE_VSA8,0.0007323038600657816
60,PEOE_VSA9,0.00013466407835390339
61,SMR_VSA1,1.0818088668732538e-06
62,SMR_VSA10,7.582769559856375e-05
63,SMR_VSA2,0.0
64,SMR_VSA3,0.002117967194891956
65,SMR_VSA4,8.000014599504154e-05
66,SMR_VSA5,8.126567129172645e-05
67,SMR_VSA6,0.0002768307668247924
68,SMR_VSA7,1.703269226270171e-05
69,SMR_VSA8,0.0
70,SMR_VSA9,3.5891876096227526e-05
71,SlogP_VSA1,5.898937579056223e-05
72,SlogP_VSA10,8.773557130422538e-05
73,SlogP_VSA11,4.144346346904022e-05
74,SlogP_VSA12,3.617564508195475e-05
75,SlogP_VSA2,1.86446049601167e-05
76,SlogP_VSA3,0.002839367085958149
77,SlogP_VSA4,0.00046453732154466915
78,SlogP_VSA5,7.575579088018056e-05
79,SlogP_VSA6,0.00029550521715239063
80,SlogP_VSA7,1.0499949788548394e-05
81,SlogP_VSA8,6.486413838637065e-07
82,SlogP_VSA9,0.0
83,TPSA_x,0.0002955638338353427
84,EState_VSA1,0.0005049321298466536
85,EState_VSA10,0.0012792138508800428
86,EState_VSA11,4.254076820654282e-05
87,EState_VSA2,0.00016446862083077793
88,EState_VSA3,8.451576431931354e-05
89,EState_VSA4,0.0003922112079472136
90,EState_VSA5,0.0007123252868878528
91,EState_VSA6,0.000197392477262311
92,EState_VSA7,0.0002064885801259668
