Feature,t-statistic,p-value
AtomTypeEState.252,-10.251229579190978,3.1508213648689454e-23
TDB9s,10.052948354658977,2.6299604613019866e-22
minwHBa,-9.906374099359086,5.987398251367125e-22
TDB10s,9.55662855594076,1.684440999011211e-20
maxHBint10,9.385032617888353,4.3767449045431706e-20
AtomTypeEState.94,-8.43969394676327,1.5057861839489153e-16
minssCH2,-8.455023851631138,1.5270238718452793e-16
TDB8s,8.319054302357278,4.209119603898512e-16
DPSA-3,7.736236635993664,2.96868256892707e-14
fr_Ndealkylation2,7.488165622791358,1.6751253052770626e-13
AATS8e,7.499780707306591,1.9220667381793737e-13
FNSA-2,-7.19281480302677,1.4072118930667877e-12
PNSA-1,6.980191873543008,5.759668052305512e-12
maxHBint6,6.749592158744631,2.5309864973205572e-11
nHBint10,6.552650810687465,9.234899455571493e-11
maxHssNH,6.38037869690975,2.753649504393514e-10
minsCH3,-5.833014283208991,7.872156995206931e-09
MolLogP,-5.162553101925841,2.939816971601242e-07
SLogP,-5.162553101925841,2.939816971601242e-07
CrippenLogP,-4.784229657850078,1.9751820003819306e-06
