,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.42519505111879147,0.533250108757091,0.6520698207391532,0.19189907639985415,0.44286203013463465,0.42028364604926605,0.5329252728141369,0.5930378256695088,0.7300173099414403,0.25478583713736336,0.5391885945279479,0.5082872928176795
DecisionTreeRegressor,0.4815311174574561,0.5324719670980391,0.6939244320943427,0.08483003333247596,0.5922945253438694,0.6522982589268431,0.4094089472606021,0.4863564447230771,0.6398507226381808,0.4275044523780941,0.6618101012976622,0.6528950394109317
RandomForestRegressor,0.3067469230732129,0.42126403125843176,0.5538473824739202,0.41701468256808916,0.6535765619825802,0.7022831758273093,0.3220313189149647,0.42436775450169273,0.5674780338611924,0.5496886487039198,0.77579954963585,0.6942175102597249
GradientBoostingRegressor,0.29227248934719463,0.42905923536829554,0.5406223167306309,0.44452394739092116,0.6762159847731126,0.6946732504288067,0.31578047717486957,0.41410900865381534,0.5619434821891518,0.5584294910549195,0.7942063638664798,0.7107464985992421
AdaBoostRegressor,0.301809631454823,0.42756778950605157,0.5493720337392712,0.4263982111543366,0.6552818393198783,0.6796180261193187,0.3307397131343274,0.41552341940231224,0.5750997419007657,0.5375112965701179,0.7717885942143379,0.705236835819403
XGBRegressor,0.26595860870272564,0.40942213136274985,0.5157117496264029,0.49453457474029394,0.7139615983687956,0.7454064152700519,0.26627502075920356,0.4004233721182579,0.516018430639065,0.6276552702436646,0.8676282319598303,0.7630882950077134
ExtraTreesRegressor,0.35531545634241823,0.42154814255294126,0.5960834306893777,0.32470815997457003,0.5725657645832126,0.6588826367360352,0.29083089310823745,0.4107230248521544,0.5392873937968858,0.5933176533404236,0.829232490510174,0.6887078474798858
LinearRegression,2.472426783338964,1.2839684162785248,1.572395237635552,-3.698950192136077,0.11966775296581832,0.09875550652282142,0.6400694067098793,0.5932193313545613,0.8000433780176418,0.10496121796490243,0.4531980383159568,0.3856763945887361
KNeighborsRegressor,0.5227552987196608,0.5421994840156862,0.7230181869909365,0.006481757958639811,0.2840241958273209,0.3614700499402659,0.4882204435106867,0.5331661674584611,0.6987277320320746,0.31729867645040255,0.579963923467532,0.48760515601575916
SVR,0.4378498105374254,0.5103854077430522,0.6617022068403773,0.16784817847141453,0.42438803406458536,0.43961713945008896,0.3753089683360165,0.4371101336089266,0.61262465534454,0.4751880368208631,0.7212710291394724,0.6721788591403686
MLPRegressor,0.704545630983971,0.7143612064143701,0.839372164766006,-0.33901834844623013,0.4223813781745457,0.44328287841400266,0.9169502393929919,0.8260932564438895,0.957575187331518,-0.28221411123480156,0.4598573025476592,0.3443539237399429
