,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.5033575251497815,0.5670990355864463,0.7094769377152308,0.043348035438493415,0.27715782432622466,0.2920440380176417,0.6130031162618037,0.6551850160677513,0.7829451553345251,0.14280926910263525,0.39474773606867825,0.28591160220994477
DecisionTreeRegressor,0.5775532787279267,0.568426689372549,0.7599692616993972,-0.09766408790571024,0.4393685318828301,0.43269389634361255,0.5921802900931522,0.5751251039230768,0.7695325139934973,0.17192679413530088,0.44023182499759783,0.33333459818026473
RandomForestRegressor,0.4666237599577745,0.5109710358570588,0.6830986458468312,0.11316208783836113,0.3928316182298705,0.4646889837217948,0.5304183036140564,0.573422155404,0.7282982243655798,0.2582914486162394,0.5124788364971551,0.35537324929962105
GradientBoostingRegressor,0.4668795735961206,0.49817712177059065,0.6832858652102505,0.1126759033522694,0.42345510837840894,0.47129636506415756,0.5702461622727474,0.6035819390944271,0.7551464508774092,0.20259830388654854,0.45425888480242066,0.3112959470609084
AdaBoostRegressor,0.471033062397396,0.5186876884116394,0.6863184846683033,0.10478202470141973,0.40713844402714294,0.44898282743093937,0.5406325137772899,0.5713993393974997,0.7352771679967289,0.2440084441043634,0.5084204461427051,0.4683213362863224
XGBRegressor,0.6283572668058488,0.5357908602442937,0.7926898932154042,-0.1942191855728035,0.334387601138946,0.44431119164043187,0.6041185770980879,0.6343840508466231,0.777250652684247,0.15523293289389595,0.40254143441506357,0.2617089820423566
ExtraTreesRegressor,0.5082035259272151,0.5275675009739219,0.7128839498313979,0.034138008901949846,0.31091778012027765,0.42196728517939364,0.5133996420758944,0.569685635096769,0.7165191149410421,0.2820894335461588,0.5423178573239615,0.3719022376391384
LinearRegression,2.3786582891975496,1.2842055711247327,1.542289949781671,-3.5207392592456523,-0.04872253274526132,-0.06242649308778099,1.2998833734899948,0.989308819307021,1.1401242798440856,-0.8176872995329825,-0.0586742938785373,-0.1790640403447703
KNeighborsRegressor,0.5184030092525203,0.5668107308784314,0.7200020897556619,0.014753465564165902,0.28716064544282643,0.2867746902548147,0.5015762828137914,0.5856105070953845,0.7082205043726081,0.2986225859864732,0.5683198320709143,0.45179234794680506
SVR,0.4912981075147114,0.5666305150006187,0.7009266063681071,0.06626746148387652,0.28940068106675276,0.26882085735366773,0.49718058301305545,0.5571319205776477,0.7051103339287089,0.30476929719403745,0.6064640815201565,0.3856763945887361
MLPRegressor,0.873537935416476,0.7948835510743105,0.9346325135669505,-0.6601952693297028,0.3540602391585806,0.38974498712622674,0.9379172131192125,0.8319555674043081,0.9684612605154698,-0.311533204492737,0.6245653258435901,0.512398638525035
