,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.41045190581875457,0.5202067920169048,0.640665205718833,0.21991903877331653,0.4722482133790982,0.417876802468396,0.5327745404923357,0.5919339169793499,0.7299140637721236,0.2549966131443151,0.5290311082479425,0.6096557523481972
DecisionTreeRegressor,0.6440676441782432,0.6120253191568626,0.8025382509128417,-0.2240774128295262,0.5382322734470871,0.5575139333823029,0.27004828892658744,0.4087453207230766,0.5196617062345343,0.622378934100391,0.7998310305686694,0.7300303183286789
RandomForestRegressor,0.29584615885397736,0.41760521580745164,0.5439174191492467,0.43773203948542205,0.6685143688714326,0.7183943248538927,0.30547839035386937,0.4008649641707699,0.552700995434122,0.5728353775791403,0.7867814388992872,0.6556498708008512
GradientBoostingRegressor,0.3765940223625102,0.49785221268166113,0.6136725693417543,0.28426735802149417,0.6033617327432217,0.6381924389017113,0.28368968567237474,0.39301640822275263,0.532625276974699,0.6033035354004792,0.8113140584242585,0.7327851497185984
AdaBoostRegressor,0.2848239209858379,0.4099915086375561,0.5336889740156132,0.4586802621374668,0.6802411201508353,0.6905338448555234,0.29574402565695806,0.3952626638459147,0.5438235243688508,0.5864473918870793,0.8229082940372675,0.7796172833472308
XGBRegressor,0.3547549180402178,0.44284086865840894,0.5956130606696077,0.32577348639012815,0.6494988022278453,0.6912789708899187,0.21918957501557726,0.3473667138869627,0.46817686296481725,0.6934970361024366,0.915575725220921,0.9035846958936101
ExtraTreesRegressor,0.3275583801792594,0.4245358148068634,0.5723271618395019,0.37746164058274745,0.6152434621180163,0.6657162982613557,0.2823793895671261,0.39770092068015434,0.5313938177727758,0.6051357833064921,0.824636170836222,0.796146271686748
LinearRegression,1.7470223699633325,1.023575292540985,1.321749738022797,-2.3202888580259198,0.20353072845337486,0.22514713849360407,0.9164236797034767,0.762297069994533,0.9573002035430039,-0.2814777983627412,0.44688654340203027,0.42148920265769013
KNeighborsRegressor,0.5457681395845777,0.5457675429254901,0.7387612195997958,-0.037255105649415254,0.2405128992189412,0.3059949759762487,0.5371092181637371,0.5984813976399999,0.7328773554720716,0.24893523201462087,0.5057724590185918,0.46005684211656367
SVR,0.46297328474654464,0.538896148181675,0.6804214023283988,0.12009996818765556,0.3761559114695908,0.37693752877082476,0.41010450776008744,0.4728111651281841,0.6403940253938097,0.426531817823521,0.6785236806988564,0.6749336905302881
MLPRegressor,0.6690410087603635,0.6844258995268043,0.8179492702853665,-0.2715403335081972,0.38194065879167244,0.44848732262202823,1.0099426715979165,0.8849013820859319,1.0049590397612813,-0.4122497485995209,0.38885033732913166,0.2561993192625175
