,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.498840355386159,0.5749286972928189,0.7062863126141968,0.05193310492233871,0.3166799354139587,0.2983648924168509,0.5202862412897488,0.5910367070149372,0.7213087004117923,0.27245958198925435,0.554980855944125,0.49035998740567865
DecisionTreeRegressor,0.45403658183871554,0.5154343584705883,0.6738223666803556,0.13708454468908615,0.5865952258428513,0.5789503442467248,0.4333179626197534,0.4854595727846153,0.6582689136057949,0.39407136564971545,0.6345156296224032,0.506888975745196
RandomForestRegressor,0.31023183792598785,0.42905498044843204,0.5569845939754419,0.41039145658324916,0.6506208112637092,0.686715099239824,0.3351043175759282,0.4186532215940008,0.5788819547851947,0.5314080674475831,0.7521780418305424,0.6473853766310926
GradientBoostingRegressor,0.3308325474043843,0.4692800750524292,0.5751804476895788,0.3712389492515977,0.6469063036293236,0.6525467916132215,0.34279358312749597,0.4257694290586835,0.5854857668018036,0.520655810267544,0.7421165563971267,0.6666691963605295
AdaBoostRegressor,0.3006294382090009,0.41092417787066926,0.5482968522698274,0.4286412176274035,0.6721202515838908,0.701416552446064,0.3414085884955486,0.41217239141528084,0.584301795731922,0.5225925125931172,0.7435944300663936,0.6611595335806904
XGBRegressor,0.4095972390670159,0.5135146505202157,0.6399978430174713,0.22154336857121304,0.5879841442821104,0.6492804187287452,0.2733503015467881,0.40908651292871084,0.522829132266736,0.6177615764781286,0.8600251187631237,0.6859530160899663
ExtraTreesRegressor,0.3510616080097691,0.4220732659311764,0.5925045215099789,0.3327927760993902,0.5823500857365421,0.6350779614888923,0.290870831007184,0.3913980913683084,0.5393244209260174,0.5932618063212481,0.8460679736765644,0.7382948124984375
LinearRegression,1.3464396243501564,0.921411175053094,1.160361850609609,-1.5589646472748142,0.13124987327107762,0.1416249806650927,0.8030267928659407,0.7173832235115795,0.896117622227094,-0.1229096643171721,0.22707787062602316,0.1652898833951726
KNeighborsRegressor,0.4806262000737707,0.5501272709607843,0.693272096707902,0.08654986655163932,0.3690055283423018,0.4385635449545816,0.4007158115185684,0.48126363227076896,0.6330211777804661,0.4396604678743047,0.681463140921623,0.6666691963605295
SVR,0.4585705526334224,0.5465705364646729,0.6771783757869284,0.12846754414512862,0.38635476363432963,0.3712352681602924,0.37607818664210624,0.46148985471385373,0.613252139533248,0.47411240313397807,0.7293639419677028,0.6721788591403686
MLPRegressor,0.7504285847277675,0.7492711935061497,0.8662728119523131,-0.4262208151736846,0.4308602908066189,0.4549589358546165,1.0903734301853547,0.9173306261809819,1.0442094761997494,-0.5247198142667739,0.4374908470717318,0.3663925748592992
