,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4215,0.5058,0.6492,0.1989,0.4470,0.4767,0.6382,0.6856,0.7989,0.1076,0.3320,0.3961
DecisionTreeRegressor,0.5435,0.5530,0.7372,-0.0329,0.5085,0.5146,0.8266,0.6751,0.9092,-0.1558,0.2872,0.1492
RandomForestRegressor,0.4199,0.5115,0.6480,0.2020,0.5242,0.5191,0.7331,0.6830,0.8562,-0.0251,0.3239,0.1103
GradientBoostingRegressor,0.4850,0.5309,0.6964,0.0782,0.5269,0.5261,0.7959,0.6835,0.8921,-0.1129,0.3047,0.1517
AdaBoostRegressor,0.3889,0.5024,0.6236,0.2609,0.5805,0.5440,0.7587,0.6936,0.8710,-0.0609,0.2984,0.0828
XGBRegressor,0.5307,0.5531,0.7285,-0.0085,0.5045,0.5225,0.7957,0.6728,0.8920,-0.1126,0.3097,0.2234
ExtraTreesRegressor,0.4702,0.5109,0.6857,0.1064,0.5509,0.5535,0.8214,0.6926,0.9063,-0.1486,0.2784,0.1324
LinearRegression,0.6905,0.6423,0.8310,-0.3124,0.3412,0.4325,0.5973,0.6482,0.7728,0.1648,0.4163,0.3586
KNeighborsRegressor,0.4816,0.5260,0.6940,0.0847,0.4296,0.4894,0.6516,0.6574,0.8072,0.0889,0.3949,0.2928
SVR,0.4076,0.5048,0.6384,0.2253,0.4775,0.4462,0.4992,0.5833,0.7065,0.3019,0.6072,0.3779
MLPRegressor,0.7901,0.7151,0.8889,-0.5017,0.2956,0.2998,0.5852,0.6249,0.7650,0.1817,0.4795,0.5379
