,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4048,0.4939,0.6363,0.2306,0.4870,0.5121,0.6269,0.6731,0.7917,0.1234,0.3562,0.3393
DecisionTreeRegressor,0.5336,0.5191,0.7305,-0.0142,0.5337,0.4506,0.5689,0.5343,0.7543,0.2044,0.4971,0.2841
RandomForestRegressor,0.2960,0.4451,0.5440,0.4375,0.6624,0.5219,0.5240,0.5230,0.7239,0.2673,0.5272,0.3117
GradientBoostingRegressor,0.2978,0.4415,0.5457,0.4340,0.6866,0.5327,0.5295,0.5113,0.7277,0.2595,0.5255,0.3448
AdaBoostRegressor,0.3222,0.4513,0.5676,0.3877,0.6453,0.4600,0.5578,0.5583,0.7469,0.2200,0.4781,0.2731
XGBRegressor,0.3050,0.4367,0.5523,0.4202,0.6820,0.5258,0.5095,0.4831,0.7138,0.2876,0.5606,0.4083
ExtraTreesRegressor,0.3398,0.4736,0.5829,0.3542,0.6358,0.4786,0.5775,0.5436,0.7599,0.1925,0.4649,0.2097
LinearRegression,4.7132,1.4008,2.1710,-7.9577,0.0677,0.1719,2.8447,1.3274,1.6866,-2.9778,0.1105,0.0386
KNeighborsRegressor,0.4876,0.5663,0.6983,0.0734,0.4132,0.4104,0.4085,0.4814,0.6391,0.4288,0.7547,0.6547
SVR,0.3714,0.4939,0.6095,0.2941,0.5490,0.5046,0.4764,0.5186,0.6902,0.3339,0.7293,0.7117
MLPRegressor,1.4566,0.9812,1.2069,-1.7683,0.3489,0.2708,1.1015,0.7724,1.0495,-0.5403,0.5098,0.4690
