,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4048,0.4939,0.6363,0.2306,0.4870,0.5121,0.6269,0.6731,0.7917,0.1234,0.3562,0.3393
DecisionTreeRegressor,0.3700,0.4604,0.6083,0.2968,0.6304,0.4876,0.5516,0.5045,0.7427,0.2286,0.5050,0.3283
RandomForestRegressor,0.3061,0.4532,0.5533,0.4182,0.6480,0.5164,0.5252,0.5240,0.7247,0.2656,0.5261,0.2345
GradientBoostingRegressor,0.3016,0.4413,0.5492,0.4268,0.6834,0.5411,0.5294,0.5093,0.7276,0.2597,0.5253,0.3669
AdaBoostRegressor,0.2848,0.4149,0.5337,0.4587,0.6861,0.5141,0.5223,0.5314,0.7227,0.2696,0.5283,0.3062
XGBRegressor,0.3050,0.4367,0.5523,0.4202,0.6820,0.5258,0.5095,0.4831,0.7138,0.2876,0.5606,0.4083
ExtraTreesRegressor,0.3321,0.4718,0.5763,0.3688,0.6436,0.4828,0.5728,0.5392,0.7568,0.1990,0.4728,0.2869
LinearRegression,4.7132,1.4008,2.1710,-7.9577,0.0677,0.1719,2.8447,1.3274,1.6866,-2.9778,0.1105,0.0386
KNeighborsRegressor,0.4913,0.5679,0.7009,0.0663,0.4093,0.4075,0.4019,0.4779,0.6339,0.4380,0.7598,0.6547
SVR,0.3714,0.4939,0.6095,0.2941,0.5490,0.5046,0.4764,0.5186,0.6902,0.3339,0.7293,0.7117
MLPRegressor,1.3717,0.9888,1.1712,-1.6069,0.4002,0.3683,1.1278,0.7667,1.0620,-0.5771,0.4585,0.3007
