,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3794,0.5112,0.6159,0.2790,0.5323,0.5130,0.3523,0.4501,0.5936,0.5073,0.7637,0.6336
DecisionTreeRegressor,1.2177,0.8294,1.1035,-1.3144,0.1023,0.1736,0.3971,0.4988,0.6301,0.4448,0.6841,0.6391
RandomForestRegressor,0.4164,0.5380,0.6453,0.2085,0.4738,0.4607,0.4052,0.4929,0.6366,0.4333,0.6951,0.6584
GradientBoostingRegressor,0.4804,0.5792,0.6931,0.0869,0.3989,0.3395,0.3594,0.4344,0.5995,0.4975,0.7345,0.8017
AdaBoostRegressor,0.3943,0.5018,0.6279,0.2507,0.5073,0.5312,0.3655,0.4234,0.6046,0.4889,0.7266,0.6253
XGBRegressor,0.7148,0.6371,0.8454,-0.3585,0.2553,0.2885,0.4820,0.5213,0.6943,0.3260,0.5834,0.5482
ExtraTreesRegressor,0.3198,0.4696,0.5655,0.3922,0.6314,0.5572,0.4102,0.4623,0.6405,0.4264,0.6684,0.5537
LinearRegression,0.5570,0.6056,0.7463,-0.0586,0.4998,0.5474,0.4666,0.5418,0.6831,0.3476,0.7182,0.8099
KNeighborsRegressor,0.4310,0.5109,0.6565,0.1809,0.4830,0.5113,0.4492,0.5683,0.6703,0.3718,0.6278,0.6116
SVR,0.4308,0.5278,0.6563,0.1813,0.4340,0.4446,0.3905,0.4553,0.6249,0.4539,0.7458,0.7410
MLPRegressor,1.1319,0.8287,1.0639,-1.1512,0.2281,0.2238,0.7307,0.5799,0.8548,-0.0218,0.5626,0.7686
