,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3700,0.4928,0.6083,0.2968,0.5468,0.5270,0.3737,0.4398,0.6113,0.4775,0.7374,0.6281
DecisionTreeRegressor,0.8445,0.6943,0.9190,-0.6050,0.2886,0.2197,0.4436,0.5347,0.6661,0.3796,0.6396,0.4215
RandomForestRegressor,0.4081,0.5320,0.6388,0.2245,0.4846,0.4661,0.4094,0.5022,0.6398,0.4276,0.6913,0.6419
GradientBoostingRegressor,0.4615,0.5530,0.6794,0.1228,0.4759,0.4450,0.3693,0.4511,0.6077,0.4835,0.7320,0.6694
AdaBoostRegressor,0.3344,0.4652,0.5783,0.3644,0.6040,0.5869,0.3498,0.4356,0.5914,0.5109,0.7643,0.6226
XGBRegressor,0.3905,0.5083,0.6249,0.2578,0.5528,0.4120,0.4608,0.4876,0.6788,0.3556,0.6015,0.4298
ExtraTreesRegressor,0.3447,0.4654,0.5871,0.3448,0.5955,0.5499,0.4007,0.4763,0.6330,0.4397,0.6816,0.5207
LinearRegression,0.6023,0.6288,0.7761,-0.1447,0.4724,0.5239,0.3999,0.4555,0.6324,0.4408,0.7456,0.8843
KNeighborsRegressor,0.3980,0.4920,0.6309,0.2435,0.5158,0.5162,0.4301,0.5101,0.6558,0.3986,0.6511,0.5034
SVR,0.4149,0.5181,0.6441,0.2115,0.4668,0.4735,0.3905,0.4594,0.6249,0.4539,0.7474,0.7190
MLPRegressor,1.0445,0.8470,1.0220,-0.9852,0.3811,0.3526,0.8252,0.7393,0.9084,-0.1539,0.5306,0.5317
